"Daily Weather Observations for Sydney, New South Wales for June 2016"
"Prepared at 13:01 GMT on Thursday 13 July 2017   IDCJDW2124.201606"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-06-1,10.9,17.9,29.4,0.6,1.4,W,24,01:32,13.1,89,7,W,15,1029.1,16.0,74,7,ENE,7,1026.6
,2016-06-2,11.1,19.1,1.0,2.4,8.7,,,,12.3,85,2,W,19,1027.0,18.6,60,7,SSE,15,1024.3
,2016-06-3,11.7,18.3,0.2,2.4,1.3,WSW,28,20:25,13.3,78,7,WNW,11,1025.4,18.3,73,7,S,11,1021.6
,2016-06-4,13.3,21.1,64.4,,0.0,ENE,89,23:43,17.0,91,8,NNE,13,1015.4,18.8,82,8,NE,30,1009.5
,2016-06-5,16.3,19.7,93.8,,0.0,ENE,96,14:16,18.8,89,8,NE,31,1002.5,19.7,85,8,ENE,57,995.9
,2016-06-6,13.7,18.4,68.4,12.6,2.2,W,59,15:47,14.9,59,7,W,28,999.8,17.9,43,7,WSW,28,998.4
,2016-06-7,11.3,19.9,0,5.2,3.6,WNW,44,17:59,13.8,59,4,NNW,20,1004.1,17.9,40,7,WNW,20,1002.7
,2016-06-8,10.9,20.7,0,1.8,9.3,WNW,31,14:27,13.8,65,1,WNW,15,1011.4,20.2,40,1,WNW,15,1009.2
,2016-06-9,13.8,22.0,0.2,4.8,6.0,NW,59,10:06,17.4,62,7,NNW,31,1006.8,21.6,32,1,WNW,17,1005.9
,2016-06-10,13.1,21.4,0.2,6.2,9.1,W,35,10:35,15.3,64,1,WNW,15,1017.4,20.8,41,1,WNW,7,1016.8
,2016-06-11,10.1,19.8,0,3.2,8.7,WSW,54,02:15,13.4,53,1,W,24,1022.5,19.3,34,5,W,19,1020.7
,2016-06-12,7.9,18.1,0,5.4,8.3,SW,33,00:32,9.4,62,4,W,22,1036.2,17.6,34,1,S,7,1034.9
,2016-06-13,8.5,20.3,0,1.0,6.5,W,30,08:06,10.3,65,5,W,20,1039.0,17.7,51,1,E,9,1035.5
,2016-06-14,9.9,21.2,0,2.2,9.6,,,,11.6,80,1,W,15,1035.8,20.9,42,4,WNW,6,1031.6
,2016-06-15,9.1,20.5,0,3.4,8.2,WNW,26,03:31,10.6,72,5,WNW,17,1033.4,19.2,45,3,E,9,1029.8
,2016-06-16,10.2,22.2,0,2.2,9.6,NNW,30,11:00,12.9,81,1,W,13,1025.5,21.2,42,1,N,11,1019.3
,2016-06-17,12.7,19.3,0,3.6,1.4,NNW,30,08:41,17.4,53,6,NNW,20,1017.7,18.7,60,7,N,17,1014.6
,2016-06-18,14.7,21.1,5.0,3.6,3.4,SSW,31,21:08,15.4,90,7,E,6,1017.4,20.7,64,6,ESE,4,1015.4
,2016-06-19,14.5,19.5,0.4,0.8,0.0,NNE,52,21:07,15.2,81,7,W,13,1017.2,16.7,89,8,ESE,20,1010.4
,2016-06-20,15.0,20.4,38.8,2.2,3.5,NNW,52,15:58,16.2,76,6,NNW,9,999.5,17.9,52,6,NW,22,994.2
,2016-06-21,14.9,18.4,0,6.0,5.5,NW,59,05:01,15.8,56,7,NW,22,1003.3,17.8,38,4,WNW,28,1002.0
,2016-06-22,12.8,19.7,0,4.4,9.0,W,50,14:44,15.0,60,2,NW,17,1004.8,19.3,34,1,W,28,1005.0
,2016-06-23,9.4,18.5,0,5.0,8.2,NNW,35,15:07,12.8,58,7,NNW,7,1012.6,17.4,43,4,NNW,24,1007.4
,2016-06-24,12.7,16.3,0,3.8,6.5,W,69,13:13,15.8,52,5,WNW,13,1003.8,14.4,33,3,W,43,1003.2
,2016-06-25,7.3,15.1,0.6,5.4,9.6,W,54,01:10,8.4,49,1,W,28,1018.1,14.3,31,1,S,17,1018.1
,2016-06-26,5.6,15.3,0,3.6,5.2,W,39,03:05,7.4,61,6,W,20,1021.1,13.7,45,7,W,7,1017.0
,2016-06-27,7.4,11.7,0,2.2,0.0,W,46,22:57,9.3,74,8,W,26,1015.3,11.0,74,8,SW,9,1013.6
,2016-06-28,7.7,17.3,2.4,1.4,8.9,WSW,46,04:55,9.6,57,1,W,31,1022.9,16.9,36,1,SSW,13,1023.1
,2016-06-29,6.7,18.8,0.2,4.0,9.6,W,31,04:07,8.8,66,1,W,22,1028.4,18.6,33,1,N,4,1025.4
,2016-06-30,5.4,16.5,0,1.8,,NW,44,21:58,7.7,78,1,W,11,1021.2,14.5,33,7,NNW,24,1015.1
