"Daily Weather Observations for Canberra, Australian Capital Territory for June 2016"
"Prepared at 13:02 GMT on Thursday 13 July 2017   IDCJDW2801.201606"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-06-1,5.9,14.1,0,,,ESE,35,23:12,9.6,72,8,SW,6,1030.0,13.0,62,8,SSE,7,1027.7
,2016-06-2,4.9,14.8,5.4,,,ESE,30,14:46,8.3,86,8,SE,9,1028.7,13.8,59,1,ESE,20,1025.7
,2016-06-3,2.7,15.0,0,,,NNE,30,12:23,8.3,85,8,SE,9,1027.2,13.9,59,8,E,17,1023.5
,2016-06-4,8.2,15.0,2.6,,,ENE,57,16:53,12.0,95,8,SE,11,1016.8,13.2,89,8,ESE,15,1010.2
,2016-06-5,11.8,15.4,28.4,,,E,35,13:36,12.7,99,6,S,11,1007.3,13.6,99,8,N,13,1001.5
,2016-06-6,8.9,14.2,65.2,,,WNW,44,05:08,9.9,75,8,NW,24,1001.9,12.2,57,1,WNW,30,1002.0
,2016-06-7,7.1,11.3,0,,,NW,43,10:57,9.3,76,8,NW,20,1004.2,9.6,76,8,NW,26,1004.1
,2016-06-8,6.6,13.2,0,,,NW,44,12:14,11.1,74,,NW,20,1012.7,11.7,68,8,NW,22,1011.4
,2016-06-9,9.2,15.9,4.0,,,NNW,44,05:28,12.4,85,8,NW,24,1007.3,12.1,73,8,NW,28,1007.0
,2016-06-10,6.6,14.5,0.6,,,NW,44,13:50,10.4,84,,N,19,1018.9,12.6,55,1,WNW,30,1019.2
,2016-06-11,6.6,13.7,0,,,W,56,09:15,10.9,66,,WNW,35,1022.2,12.4,46,,WNW,22,1023.5
,2016-06-12,-3.5,11.6,0,,,NW,17,13:11,3.0,83,,N,6,1037.5,11.1,45,,NNW,11,1035.9
,2016-06-13,-4.5,14.5,0,,,N,28,14:55,0.7,89,, ,Calm,1040.3,13.8,45,,N,20,1036.4
,2016-06-14,-3.5,15.2,0.2,,,NW,28,12:56,0.1,99,7,SSE,4,1037.5,14.2,49,,NNW,20,1034.2
,2016-06-15,-5.5,14.7,0,,,N,17,15:29,0.9,94,,NNW,2,1035.5,14.4,50,,NW,7,1030.8
,2016-06-16,-3.8,15.1,0.2,,,NNW,35,15:15,1.5,92,, ,Calm,1026.9,14.3,60,,NNW,24,1020.7
,2016-06-17,1.5,13.4,2.2,,,NNW,39,11:36,10.8,97,8,NNW,20,1017.2,12.6,92,8,NW,20,1015.1
,2016-06-18,8.8,14.0,9.6,,,S,17,11:42,10.6,99,8,SSW,7,1019.0,13.2,78,8,E,11,1018.3
,2016-06-19,9.0,13.1,0.4,,,SE,33,20:14,10.9,85,8,ESE,11,1019.4,11.2,96,7,ESE,9,1012.9
,2016-06-20,7.6,14.5,21.2,,,WNW,50,23:22,10.5,91,8,NW,19,1000.4,13.2,72,8,NW,19,995.7
,2016-06-21,8.1,11.9,0.2,,,NW,57,12:26,9.4,75,8,NW,31,1003.4,9.1,72,8,NNW,30,1003.5
,2016-06-22,7.1,12.5,1.0,,,NW,56,02:42,8.8,84,8,NNW,20,1005.2,10.7,64,8,NW,28,1007.5
,2016-06-23,7.0,12.3,0,,,NNW,54,22:25,8.0,74,7,NNW,26,1012.1,9.9,69,8,NW,33,1007.2
,2016-06-24,4.8,8.9,1.6,,,NW,59,09:22,6.1,85,5,NNW,24,1004.3,6.2,67,8,WNW,22,1004.8
,2016-06-25,-2.7,10.2,1.0,,,NNW,31,14:14,3.3,68,, ,Calm,1019.6,9.2,45,,WNW,20,1019.2
,2016-06-26,-5.1,8.0,0.2,,,N,13,03:15,-0.8,92,, ,Calm,1022.4,7.2,68,4, ,Calm,1017.4
,2016-06-27,-0.8,10.8,0,,,NNW,22,15:09,3.5,89,8,NNW,6,1016.5,10.5,55,3,NW,13,1015.1
,2016-06-28,-4.7,12.0,0,,,N,31,15:11,-0.7,94,, ,Calm,1025.6,11.5,50,,NNW,17,1024.7
,2016-06-29,-4.3,12.8,0.2,,,NNW,15,14:35,-1.1,99,7, ,Calm,1030.5,12.2,48,,NW,9,1026.5
,2016-06-30,-3.6,7.8,0,,,NNW,57,23:17,-0.4,99,7,SSE,6,1021.8,6.9,76,8,NNW,33,1015.3
