"Daily Weather Observations for Melbourne (Olympic Park), Victoria for June 2016"
"Prepared at 13:02 GMT on Thursday 13 July 2017   IDCJDW3033.201606"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-06-1,4.8,17.0,0,,,NE,13,02:14,6.4,83,,NNE,9,1029.3,15.4,61,,SSW,7,1026.7
,2016-06-2,4.8,12.8,0,,,SSW,15,13:08,6.8,90,,NNE,9,1028.4,11.8,83,,SSW,6,1025.5
,2016-06-3,6.8,14.1,0,,,SSW,15,11:39,9.8,89,,N,2,1025.9,13.4,73,,SSW,4,1022.2
,2016-06-4,9.8,13.4,6.2,,,NNE,11,04:49,11.4,100,, ,Calm,1017.2,12.8,100,,SSW,2,1011.9
,2016-06-5,10.5,14.1,3.4,,,NNE,15,02:33,11.6,100,, ,Calm,1006.0,13.9,99,,SSW,2,1002.7
,2016-06-6,8.9,14.5,1.4,,,N,39,13:54,10.8,81,,N,17,1001.9,13.5,70,,N,19,1000.7
,2016-06-7,10.5,15.3,0,,,WSW,31,18:12,12.4,74,,NW,11,1001.7,15.2,78,,WNW,13,1001.2
,2016-06-8,9.7,14.7,1.2,,,N,54,12:43,11.1,85,,N,17,1008.6,12.9,82,,N,19,1004.9
,2016-06-9,10.8,17.5,1.4,,,N,41,11:21,14.4,72,,N,11,1000.7,16.9,57,,NW,13,1003.2
,2016-06-10,10.4,15.8,0,,,NNW,39,13:56,11.4,61,,N,15,1017.1,15.0,59,,NNW,17,1016.1
,2016-06-11,9.0,13.5,3.0,,,SSW,33,13:04,10.5,77,,NW,9,1023.2,11.2,57,,SSW,13,1027.4
,2016-06-12,5.0,13.8,0.6,,,W,19,12:06,7.4,81,,NE,7,1037.0,13.3,51,,SSW,9,1035.7
,2016-06-13,3.8,13.4,0,,,NNW,48,11:35,8.7,71,,NNW,20,1037.2,13.2,54,,N,22,1032.7
,2016-06-14,8.6,15.6,0,,,N,35,07:35,10.4,71,,N,19,1034.6,14.9,55,,N,17,1033.2
,2016-06-15,6.0,17.9,0,,,N,19,19:57,7.9,81,,NNE,9,1032.9,16.9,53,,SSE,6,1028.3
,2016-06-16,7.8,14.3,0,,,N,43,10:03,9.4,72,,N,15,1020.8,11.8,84,,N,9,1015.1
,2016-06-17,9.3,15.1,4.2,,,N,26,05:28,14.3,84,,N,11,1011.3,14.9,91,,N,6,1011.3
,2016-06-18,10.0,12.7,8.6,,,SSE,26,01:25,10.6,95,, ,Calm,1020.7,11.9,77,,S,7,1020.0
,2016-06-19,7.3,13.5,0.4,,,SSE,24,22:53,9.2,93,, ,Calm,1019.6,11.5,79,,SSW,7,1014.6
,2016-06-20,9.1,13.2,3.6,,,SSE,31,05:56,12.8,100,,S,9,1005.6,12.7,94,,SSW,13,1003.6
,2016-06-21,10.4,14.7,3.2,,,N,46,14:14,12.5,76,,N,13,1000.8,13.7,69,,NNW,20,996.9
,2016-06-22,11.2,15.4,0,,,NW,39,13:04,11.9,67,,NNW,13,1003.6,13.2,68,,WNW,11,1004.6
,2016-06-23,10.4,14.8,0.6,,,N,61,12:37,11.7,74,,N,22,1003.2,13.9,60,,N,33,997.3
,2016-06-24,6.9,10.7,13.8,,,W,44,13:43,8.2,71,,W,13,1003.0,8.4,65,,W,17,1008.7
,2016-06-25,5.6,12.7,2.0,,,W,24,01:51,6.6,75,,NW,6,1022.9,11.6,68,,SSW,7,1022.1
,2016-06-26,3.0,11.1,0.2,,,N,39,13:28,4.8,88,,NNE,11,1021.1,10.0,55,,N,19,1017.4
,2016-06-27,4.8,10.6,0.2,,,NNW,22,00:51,7.8,82,,N,9,1017.7,10.2,90,,N,7,1017.9
,2016-06-28,5.0,17.0,0.2,,,NW,26,15:19,9.7,77,,N,9,1023.7,16.1,56,,NW,9,1023.5
,2016-06-29,8.9,15.8,0.2,,,N,44,21:12,10.7,84,,N,13,1026.8,14.7,58,,N,20,1022.5
,2016-06-30,10.3,11.7,0,,,N,63,11:58,10.4,67,,N,24,1011.2,10.7,72,,N,24,1006.8
