"Daily Weather Observations for Gold Coast, Queensland for June 2016"
"Prepared at 13:04 GMT on Thursday 13 July 2017   IDCJDW4050.201606"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the Gold Coast Seaway, at the northern end of Southport Spit."
"The Gold Coast Seaway site is an Automatic Weather Station (AWS) at the northern end of Southport Spit. If you are interested in the southern end of the Gold Coast, see the observations from Coolangatta."
"Observations were drawn from Gold Coast Seaway {station 040764}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-06-1,16.6,22.4,0,,,S,41,10:49,19.3,59,,S,26,1025.3,21.0,58,,SSE,28,1022.9
,2016-06-2,15.8,22.0,4.2,,,SSE,41,01:40,18.3,82,,S,17,1024.3,18.3,87,,S,13,1021.5
,2016-06-3,15.0,22.1,7.6,,,NE,63,21:01,19.4,81,,S,17,1022.8,19.5,88,,ESE,11,1018.9
,2016-06-4,17.9,21.1,73.0,,,NE,78,01:47,20.7,99,,ENE,41,1011.6,20.0,100,,N,24,1006.2
,2016-06-5,14.9,21.3,129.0,,,W,59,15:48,17.4,69,,WNW,30,999.5,18.9,53,,WNW,37,997.6
,2016-06-6,14.9,19.5,0,,,W,46,15:22,16.4,48,,W,22,1004.8,18.8,43,,W,22,1003.4
,2016-06-7,12.3,21.8,0,,,W,48,13:33,16.2,59,,NNW,15,1011.7,21.5,33,,W,28,1007.6
,2016-06-8,12.0,22.4,0,,,WNW,33,09:01,18.0,47,,WNW,26,1014.8,21.0,44,,ENE,13,1012.9
,2016-06-9,12.7,26.9,0,,,NNW,31,12:09,20.2,51,,NW,15,1014.3,23.5,58,,NNE,26,1011.8
,2016-06-10,16.6,24.8,0,,,NW,31,09:10,21.3,39,,W,13,1018.5,21.9,56,,ESE,19,1018.2
,2016-06-11,13.0,21.6,0,,,SW,19,03:22,17.2,73,,NW,11,1023.0,20.4,58,,ENE,11,1020.6
,2016-06-12,14.1,19.8,0,,,SSE,57,17:30,18.0,63,,S,30,1029.5,17.3,82,,S,35,1029.4
,2016-06-13,15.3,21.7,0.8,,,SE,70,05:49,17.3,82,,S,26,1033.5,20.1,65,,SE,39,1031.8
,2016-06-14,16.4,22.7,0.6,,,,,,18.2,82,,S,28,1032.7,21.0,68,,SE,33,1029.7
,2016-06-15,15.9,21.7,,,,SSE,48,16:40,19.2,76,,SSE,31,1029.4,21.1,58,,SSE,33,1027.0
,2016-06-16,16.5,22.9,0,,,S,37,01:24,18.7,77,,SSE,19,1025.6,21.3,49,,ENE,20,1021.4
,2016-06-17,13.3,22.8,0.4,,,SW,19,00:11,17.6,83,,SSW,6,1022.1,20.6,69,,N,9,1018.7
,2016-06-18,14.7,23.3,0.2,,,NW,19,11:30,19.7,80,, ,Calm,1021.0,20.7,81,,ENE,9,1017.4
,2016-06-19,17.3,22.1,3.2,,,NNE,59,13:23,21.6,92,,NE,33,1014.7,20.1,100,,NNE,37,1010.2
,2016-06-20,15.4,19.7,62.6,,,WNW,74,12:10,17.4,63,,NW,30,1009.1,19.3,50,,WNW,24,1006.7
,2016-06-21,12.6,20.5,0,,,WNW,44,13:36,15.9,57,,NW,28,1013.1,19.4,45,,NW,28,1009.7
,2016-06-22,14.4,21.6,0,,,WNW,39,15:11,15.5,64,,NW,24,1012.4,21.5,47,,W,26,1010.1
,2016-06-23,14.7,18.9,0,,,NW,28,20:59,15.9,70,,W,11,1015.3,16.6,70,,NNW,9,1012.2
,2016-06-24,15.7,23.4,0.2,,,WNW,72,16:05,18.6,69,,WNW,41,1010.9,22.9,48,,WNW,35,1007.4
,2016-06-25,9.7,18.1,0,,,W,41,02:52,13.9,32,,WSW,15,1017.9,16.8,31,,E,15,1016.8
,2016-06-26,6.6,18.5,0,,,WNW,19,08:13,12.4,64,,NW,13,1021.3,17.1,46,,NNE,11,1017.4
,2016-06-27,12.4,18.8,0,,,W,48,17:38,15.7,76,,NW,19,1016.5,18.5,58,,NW,31,1012.6
,2016-06-28,9.2,20.8,0,,,WNW,41,02:56,12.9,48,,WNW,26,1019.9,20.2,35,,S,22,1019.3
,2016-06-29,9.8,21.3,0,,,S,35,09:12,17.1,54,,S,19,1025.8,20.7,52,,SSE,20,1023.6
,2016-06-30,11.0,20.9,0,,,N,28,17:53,16.5,62,,W,11,1023.9,19.7,67,,ENE,13,1020.1
