"Daily Weather Observations for Gold Coast, Queensland for July 2017"
"Prepared at 06:26 GMT on Tuesday 18 July 2017   IDCJDW4050.201707"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the Gold Coast Seaway, at the northern end of Southport Spit."
"The Gold Coast Seaway site is an Automatic Weather Station (AWS) at the northern end of Southport Spit. If you are interested in the southern end of the Gold Coast, see the observations from Coolangatta."
"Observations were drawn from Gold Coast Seaway {station 040764}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-07-1,11.2,19.1,,,,,,,15.5,43,,S,17,1027.7,18.3,43,,SSE,28,1025.5
,2017-07-2,10.5,21.4,0,,,ESE,24,15:34,15.4,60,,SSW,6,1027.0,19.8,55,,ESE,17,1023.8
,2017-07-3,9.9,21.8,0,,,NNE,24,15:17,16.8,73,,W,9,1023.9,19.9,67,,NE,19,1019.6
,2017-07-4,15.3,24.7,0,,,NW,33,09:23,19.3,74,,NW,17,1019.8,24.1,53,,NW,17,1015.8
,2017-07-5,12.4,25.6,0.2,,,N,31,17:39,17.2,73,,WNW,17,1018.9,25.0,34,,NW,13,1014.5
,2017-07-6,12.6,23.3,0,,,SSE,33,15:51,17.2,72,,NW,9,1019.0,23.0,34,,NW,11,1015.4
,2017-07-7,12.4,17.7,7.8,,,NNW,31,18:11,17.4,100,,NNW,15,1015.3,17.4,100,,NNW,15,1012.6
,2017-07-8,11.5,20.9,1.6,,,WNW,30,12:01,15.0,78,,NW,17,1018.6,20.8,36,,NW,15,1016.4
,2017-07-9,8.7,20.2,0,,,NE,17,15:29,14.5,55,,W,7,1022.2,19.5,45,,NE,13,1019.8
,2017-07-10,11.1,21.8,0,,,S,33,12:33,15.3,58,,SW,6,1025.3,18.3,55,,S,13,1023.8
,2017-07-11,14.8,21.3,0,,,SSE,46,18:31,18.3,67,,SSW,6,1027.1,19.8,61,,SE,35,1024.9
,2017-07-12,12.7,21.1,0.2,,,S,46,12:09,17.4,57,,S,30,1028.9,20.0,51,,S,30,1025.9
,2017-07-13,12.9,21.3,0,,,SSE,48,04:09,17.6,61,,SSE,19,1027.1,19.6,55,,SE,24,1024.2
,2017-07-14,11.9,22.5,0,,,N,30,16:44,17.6,74,,W,11,1023.7,21.5,54,,NNE,20,1020.5
,2017-07-15,13.2,24.2,0,,,N,33,12:25,17.0,82,,NW,11,1021.9,22.4,54,,N,22,1017.4
,2017-07-16,15.6,22.1,1.8,,,SE,33,16:50,16.8,100,,S,11,1020.4,21.3,59,,SE,17,1018.8
,2017-07-17,13.1,22.4,0,,,NE,28,14:37,18.4,80,,SSW,7,1022.3,21.9,67,,NNE,24,1018.8
,2017-07-18,16.2,,0,,,,,,19.6,77,,NW,13,1020.0,23.3,69,,NNE,24,1014.6
