"Daily Weather Observations for Townsville, Queensland for June 2016"
"Prepared at 13:04 GMT on Thursday 13 July 2017   IDCJDW4128.201606"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Townsville Aero {station 032040}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-06-1,18.9,29.8,0,6.2,,,,,25.2,65,,SE,17,1019.1,27.6,58,1,E,28,1016.0
,2016-06-2,18.6,29.3,0.6,6.6,,E,46,13:48,23.7,67,1,SSW,13,1017.9,27.6,55,,E,31,1014.5
,2016-06-3,19.0,29.3,0,6.6,,ENE,33,13:20,25.2,68,5,S,9,1016.2,26.8,65,8,E,17,1012.1
,2016-06-4,20.7,27.3,0.2,8.2,,SSW,48,19:56,23.2,58,,SW,26,1012.5,27.3,33,,SW,26,1008.9
,2016-06-5,15.8,25.9,0,7.2,,SSW,41,10:06,19.5,41,,SSW,24,1014.5,25.3,22,,WSW,15,1009.5
,2016-06-6,10.9,28.1,0,6.0,,SSW,31,10:50,21.0,36,,SSE,7,1016.0,26.1,23,,NNE,15,1011.6
,2016-06-7,13.4,28.8,0,2.0,,NE,30,11:31,22.1,63,, ,Calm,1015.6,26.4,50,,N,17,1012.7
,2016-06-8,14.6,28.4,0,4.8,,ENE,30,13:58,23.6,72,, ,Calm,1016.4,27.4,59,,ENE,15,1013.6
,2016-06-9,16.1,29.0,0,3.0,,NNW,24,10:45,24.8,74,1, ,Calm,1018.0,28.1,53,,N,11,1014.8
,2016-06-10,17.0,29.8,0,5.6,,ENE,22,12:20,24.1,77,,NW,4,1019.6,29.0,54,,ENE,13,1016.1
,2016-06-11,17.6,29.6,0,3.6,,SE,33,12:03,25.2,70,,ESE,2,1020.7,27.6,63,,ENE,24,1017.6
,2016-06-12,19.8,28.4,0,8.2,,E,46,14:22,25.0,62,,SE,15,1022.2,26.3,59,8,E,28,1019.3
,2016-06-13,18.8,23.5,4.4,5.4,,ESE,52,14:14,19.6,93,8, ,Calm,1022.7,22.3,81,8,ESE,33,1020.0
,2016-06-14,19.4,27.0,5.4,1.4,,ESE,52,12:41,22.4,78,8,S,22,1022.9,25.1,66,8,SSE,13,1020.0
,2016-06-15,21.5,28.6,0,4.0,,SE,46,12:05,24.2,61,,S,20,1021.9,27.2,53,,E,30,1017.5
,2016-06-16,19.3,27.5,0,8.0,,E,44,15:30,23.1,67,8,SSE,17,1018.8,25.6,64,8,E,22,1015.3
,2016-06-17,21.1,27.8,0.6,4.6,,E,37,14:15,24.2,65,7,SE,17,1017.8,26.1,60,3,E,28,1014.5
,2016-06-18,18.6,28.0,0,4.6,,ESE,31,09:28,23.6,76,,SE,17,1016.1,27.0,65,1,ENE,22,1012.8
,2016-06-19,17.8,19.9,43.4,10.0,,SW,48,07:17,17.8,89,8,SW,22,1015.1,19.3,93,8,SE,9,1010.5
,2016-06-20,15.2,25.1,4.4,0.8,,SW,41,10:58,19.6,68,,SSW,26,1015.7,24.2,45,,S,11,1012.4
,2016-06-21,13.5,26.4,0,4.6,,,,,19.1,61,, ,Calm,1014.9,25.5,40,,NE,17,1012.7
,2016-06-22,18.2,28.2,0,4.0,,NE,28,13:57,23.3,77,8, ,Calm,1015.5,26.5,69,5,ENE,17,1012.2
,2016-06-23,20.3,27.7,0,3.4,,ENE,31,15:08,23.9,84,8,ESE,13,1015.1,26.2,76,,NE,24,1011.3
,2016-06-24,21.6,29.5,0,3.6,,NE,26,13:21,24.8,90,8,SW,7,1015.5,29.1,58,,N,13,1011.9
,2016-06-25,20.1,27.8,0,5.4,,ENE,33,15:43,22.9,51,,SSW,20,1017.5,26.5,50,,NE,24,1014.4
,2016-06-26,19.4,25.5,0,6.0,,ENE,30,13:30,21.6,71,8,SSE,15,1017.6,23.2,72,8,E,20,1014.3
,2016-06-27,21.5,28.4,0,2.6,,SSW,30,23:58,25.2,76,8,E,9,1016.8,27.3,71,,NE,13,1014.2
,2016-06-28,17.6,25.6,0,7.0,,SW,48,07:56,18.8,50,,SSW,33,1021.0,25.3,21,,SSW,20,1018.7
,2016-06-29,11.1,22.8,0,7.6,,NE,30,13:30,16.6,38,,SW,15,1024.1,22.5,41,,NE,19,1020.6
,2016-06-30,12.4,26.0,0,4.8,,E,24,13:00,20.2,64,,S,7,1021.4,24.8,58,8,ESE,13,1017.7
