"Daily Weather Observations for Townsville, Queensland for July 2016"
"Prepared at 13:04 GMT on Wednesday 12 July 2017   IDCJDW4128.201607"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Townsville Aero {station 032040}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-07-1,15.8,27.2,0,2.6,,ENE,37,15:49,21.8,76,,S,2,1020.5,25.7,52,,NE,26,1016.6
,2016-07-2,16.3,27.2,0,4.0,,ENE,39,13:05,22.4,66,,S,9,1021.1,25.3,50,,ENE,30,1018.5
,2016-07-3,12.8,24.2,0,9.2,,E,41,11:37,20.1,50,,SW,4,1022.0,23.1,60,8,ENE,20,1018.9
,2016-07-4,19.4,23.7,1.0,3.4,,SSE,26,06:15,19.5,95,8,S,9,1018.8,21.9,90,8,WSW,13,1015.5
,2016-07-5,17.4,28.0,2.4,0.4,,NE,28,13:28,23.4,80,1, ,Calm,1017.5,26.6,58,6,NNW,15,1013.8
,2016-07-6,17.8,26.7,0,6.4,,SW,46,09:43,19.4,39,,SW,28,1019.4,26.3,27,,SSW,17,1015.2
,2016-07-7,12.8,24.2,0,8.0,,SW,33,03:42,17.8,32,,SW,13,1019.3,23.3,31,,NE,22,1015.3
,2016-07-8,10.4,25.3,0,6.4,,NE,30,14:15,19.2,59,, ,Calm,1019.6,24.0,42,,NE,19,1016.0
,2016-07-9,11.5,25.0,0,5.2,,ENE,35,14:48,19.0,69,,SW,9,1019.6,24.1,37,,ENE,30,1016.0
,2016-07-10,13.9,27.1,0,6.2,,ENE,31,12:43,20.1,74,8,S,11,1019.9,24.8,57,7,ENE,20,1016.4
,2016-07-11,19.0,27.2,0,4.0,,ESE,33,09:36,23.0,72,2,SE,17,1019.3,25.3,66,,ENE,22,1015.6
,2016-07-12,16.8,27.6,0,6.0,,E,33,12:31,22.4,82,,SSE,9,1018.2,25.5,71,,NE,20,1015.6
,2016-07-13,16.7,29.8,0,4.0,,E,39,14:27,22.8,76,1,SE,7,1019.6,26.3,59,,ENE,26,1015.6
,2016-07-14,20.7,23.7,0,7.2,,SSW,54,18:08,21.7,44,8,SSE,19,1020.7,17.3,64,8,S,26,1018.0
,2016-07-15,11.3,17.3,31.6,4.6,,SW,43,14:30,14.9,91,8,SW,19,1017.0,14.6,82,7,SSW,33,1014.3
,2016-07-16,13.3,21.8,6.8,1.8,,W,37,10:45,17.2,74,4,SW,19,1015.3,20.7,56,8,SW,19,1012.6
,2016-07-17,16.0,25.5,0,3.0,,SW,41,04:37,19.2,64,5,SSW,19,1016.0,24.9,68,8,SE,9,1012.4
,2016-07-18,18.6,25.8,2.4,2.4,,NE,41,08:46,22.6,84,7,NE,30,1017.8,24.3,79,7,ENE,9,1015.6
,2016-07-19,22.2,27.7,1.6,1.6,,ESE,43,10:20,25.8,80,8,ESE,24,1017.5,26.2,78,8,E,26,1015.1
,2016-07-20,21.6,27.0,7.4,2.8,,ESE,43,09:53,23.8,82,7,ESE,28,1018.4,25.9,71,8,E,24,1016.1
,2016-07-21,20.1,27.2,0,4.0,,E,33,13:47,22.9,84,8,SE,13,1017.9,25.8,70,2,NE,22,1015.0
,2016-07-22,18.6,26.2,0,4.0,,ENE,24,10:40,23.5,75,8,ESE,11,1017.3,25.4,66,,NE,15,1014.1
,2016-07-23,17.1,27.4,0,2.8,,NE,24,13:40,22.6,83,, ,Calm,1016.1,25.9,68,,ENE,19,1012.5
,2016-07-24,16.8,27.8,0,4.4,,NNE,24,13:50,22.4,91,, ,Calm,1016.6,26.8,58,,NE,13,1013.5
,2016-07-25,18.0,28.6,0,2.8,,SSE,28,12:32,23.9,48,,SSW,13,1017.7,27.7,43,,NE,17,1014.0
,2016-07-26,17.2,26.8,0,5.4,,NE,28,12:52,23.0,70,,E,7,1017.6,26.5,62,7,NE,15,1014.3
,2016-07-27,18.7,27.7,0,5.0,,ENE,31,15:00,22.9,73,,WSW,4,1018.5,25.7,70,4,NE,26,1015.4
,2016-07-28,17.7,25.9,0,5.6,,NE,37,15:15,21.7,35,,S,24,1021.1,24.7,41,,ENE,26,1017.8
,2016-07-29,12.4,25.4,0,6.8,,NE,30,16:04,18.9,42,,SW,11,1021.1,24.6,42,,NNE,13,1016.7
,2016-07-30,14.5,26.4,0,4.6,,ENE,33,16:10,20.5,59,,SSW,9,1018.9,25.2,47,,NE,20,1015.0
,2016-07-31,15.3,26.0,0,7.4,,NE,35,13:43,21.3,64,,S,9,1018.3,24.8,56,,ENE,28,1014.5
