"Daily Weather Observations for Townsville, Queensland for August 2016"
"Prepared at 13:05 GMT on Tuesday 11 July 2017   IDCJDW4128.201608"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Townsville Aero {station 032040}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-08-1,15.9,26.1,0,4.4,,NE,30,13:57,22.3,63,1,SE,15,1016.8,24.8,63,,ENE,20,1013.3
,2016-08-2,17.2,27.1,0,5.4,,ENE,28,13:15,23.7,80,, ,Calm,1014.5,26.2,65,,NE,17,1010.5
,2016-08-3,16.1,23.7,0,7.2,,SSW,52,08:15,17.8,40,,SW,39,1016.6,23.0,28,,SSW,31,1012.5
,2016-08-4,13.1,23.5,0,9.0,,SSW,46,11:16,16.4,41,,SSW,28,1018.4,22.4,28,,SSW,20,1014.7
,2016-08-5,11.4,25.7,0,4.0,,ESE,37,19:01,21.0,41,,SSE,11,1019.7,24.8,45,,ENE,24,1016.5
,2016-08-6,13.5,26.5,0,8.0,,ENE,46,15:03,20.6,57,8,SSE,17,1020.9,24.8,45,1,E,33,1017.6
,2016-08-7,16.7,26.4,0,4.6,,ESE,41,10:28,22.0,54,7,SE,19,1020.7,24.0,58,1,ENE,26,1017.8
,2016-08-8,15.5,26.2,0,6.0,,ENE,48,14:12,21.7,60,,SSE,9,1021.1,24.1,56,7,E,30,1018.1
,2016-08-9,14.0,26.1,0,8.0,,ENE,37,11:57,21.9,60,,SE,15,1021.3,24.4,53,,ENE,30,1017.6
,2016-08-10,14.5,25.9,0,7.2,,ENE,35,14:05,21.5,68,,SE,11,1021.3,24.2,63,,ENE,28,1017.9
,2016-08-11,14.3,26.2,0,5.4,,NE,31,16:22,21.7,74,,S,7,1020.7,25.4,55,,NE,20,1017.1
,2016-08-12,15.4,26.7,0,4.6,,NE,37,13:41,22.5,72,,SSE,7,1021.0,24.5,66,,ENE,28,1016.9
,2016-08-13,15.3,26.9,0,6.0,,ENE,41,14:35,22.0,72,,SE,9,1021.1,24.7,61,3,NE,30,1017.4
,2016-08-14,15.1,26.7,0,8.0,,E,44,10:43,22.3,53,,SE,13,1021.5,24.6,46,,ENE,33,1017.5
,2016-08-15,18.8,23.5,0,7.8,,ESE,44,11:24,22.3,56,7,SE,19,1020.8,20.9,69,8,SSE,17,1018.6
,2016-08-16,17.7,24.6,4.2,3.2,,SE,46,11:51,19.8,77,8,SE,15,1021.7,22.8,66,8,ESE,28,1018.2
,2016-08-17,18.1,26.9,0.2,3.0,,ESE,46,10:16,22.9,58,3,SSE,19,1020.3,25.9,50,8,E,31,1016.8
,2016-08-18,14.9,26.2,0,8.0,,ENE,50,13:52,22.4,60,3,SSE,17,1018.7,24.7,49,8,E,33,1015.8
,2016-08-19,14.7,27.1,0,6.0,,SE,31,08:24,19.8,84,8,SE,17,1018.7,24.9,56,4,ENE,19,1015.4
,2016-08-20,18.6,26.3,0,4.8,,E,37,09:47,24.0,61,,ESE,19,1018.1,24.6,63,8,NE,28,1014.5
,2016-08-21,16.0,26.9,0,6.0,,ENE,35,15:08,23.7,66,8,S,9,1016.6,24.8,63,,ENE,28,1012.9
,2016-08-22,18.5,26.7,0,6.4,,ENE,35,13:35,23.4,72,7,ESE,26,1014.9,24.6,71,,NE,30,1011.4
,2016-08-23,16.4,27.4,0,6.0,,ENE,31,12:17,23.9,76,1,ENE,13,1013.4,26.5,55,,NNE,19,1009.4
,2016-08-24,20.7,29.0,0,4.8,,N,37,16:34,24.7,75,1,NNW,19,1012.7,27.9,60,,N,22,1008.2
,2016-08-25,22.4,27.3,0,6.8,,SSW,37,03:00,23.2,65,8,SSW,17,1013.3,24.7,69,8,ENE,26,1010.4
,2016-08-26,18.7,26.4,15.8,6.0,,SSW,44,09:46,20.3,41,7,SW,28,1017.3,25.6,31,2,SSW,28,1013.5
,2016-08-27,13.8,24.2,0,6.2,,ENE,37,14:35,20.0,34,,SSE,11,1021.4,22.1,37,,ENE,31,1018.1
,2016-08-28,12.1,23.3,0,9.2,,NE,33,13:11,19.9,39,,SE,17,1023.4,22.0,47,,NE,24,1019.4
,2016-08-29,13.7,26.6,0,6.0,,ENE,39,11:35,21.8,56,,ESE,17,1022.3,24.2,52,8,E,30,1019.7
,2016-08-30,18.8,27.5,0.6,7.8,,ESE,41,09:51,22.3,72,4,ESE,28,1022.9,25.6,56,8,E,28,1020.1
,2016-08-31,20.1,27.6,0.2,6.0,,E,37,09:41,23.3,74,8,ESE,22,1021.9,26.0,58,,ENE,22,1018.1
