"Daily Weather Observations for Townsville, Queensland for September 2016"
"Prepared at 13:05 GMT on Monday 10 July 2017   IDCJDW4128.201609"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Townsville Aero {station 032040}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-09-1,21.3,27.2,0,8.0,,,,,23.5,68,8,ESE,24,1018.7,26.1,58,,NE,24,1013.9
,2016-09-2,20.2,28.3,0,6.2,,NNE,37,12:20,25.9,67,,NNE,15,1014.1,26.8,62,1,N,24,1010.8
,2016-09-3,20.8,28.9,0,5.4,,SSW,37,06:55,24.3,65,3,S,24,1016.4,27.2,49,6,NE,19,1014.1
,2016-09-4,17.4,29.1,0,7.0,,ENE,48,14:50,24.7,46,,SSE,9,1020.8,26.0,55,,ENE,39,1017.6
,2016-09-5,16.5,27.1,0,10.0,,E,48,12:16,23.9,55,,ESE,30,1022.5,25.2,49,,ENE,33,1019.0
,2016-09-6,16.9,26.9,0,9.6,,E,44,15:00,23.0,63,8,SE,24,1022.5,25.9,51,6,E,31,1019.3
,2016-09-7,17.8,27.6,0,7.0,,ENE,50,13:45,22.8,65,8,SE,11,1021.7,26.2,54,2,E,37,1018.1
,2016-09-8,15.9,27.5,0,6.0,,E,48,12:58,23.4,59,,SSE,17,1020.6,26.0,64,,ENE,30,1016.5
,2016-09-9,18.8,28.7,0,9.0,,ENE,35,15:41,24.0,72,5,SE,11,1018.7,27.3,67,,ENE,28,1014.8
,2016-09-10,18.6,28.3,0,7.0,,NE,37,14:20,24.9,75,,E,11,1017.0,26.0,71,,ENE,31,1013.4
,2016-09-11,21.2,28.9,0,4.8,,ENE,41,15:30,25.6,57,2,NNE,7,1017.1,27.1,63,,ENE,31,1013.0
,2016-09-12,21.5,27.6,10.6,7.6,,ENE,37,13:45,22.4,95,4,ESE,11,1017.7,26.8,64,2,ENE,28,1014.8
,2016-09-13,21.8,27.7,,4.8,,ENE,37,15:03,22.6,91,8,ESE,22,1018.8,27.2,63,1,ENE,30,1015.2
,2016-09-14,22.2,28.4,4.4,6.4,,ENE,37,15:01,25.4,73,5,ENE,20,1017.8,27.0,69,,ENE,28,1014.2
,2016-09-15,21.4,29.1,0,7.0,,N,35,13:18,26.7,95,3,NE,19,1016.7,28.0,55,,N,19,1013.8
,2016-09-16,22.1,28.1,0,6.2,,E,33,11:27,26.0,70,8,ESE,15,1019.8,26.7,68,,NE,24,1016.4
,2016-09-17,22.1,28.8,0,6.0,,NE,35,11:41,26.2,68,8,E,17,1019.1,24.5,83,8,E,20,1015.7
,2016-09-18,22.0,29.1,0,5.8,,NE,31,13:56,26.2,70,8,NNE,13,1016.1,28.4,64,,NE,24,1012.7
,2016-09-19,23.1,30.3,0,4.8,,NNW,28,15:51,26.2,73,6,WNW,6,1015.4,29.1,50,5,NE,20,1012.2
,2016-09-20,21.7,29.5,0,5.6,,ENE,35,12:14,28.0,65,6,NE,26,1016.0,28.3,63,,ENE,22,1013.1
,2016-09-21,22.9,28.9,0,7.2,,NE,30,10:14,26.5,68,8,ENE,15,1016.5,27.0,69,8,ENE,19,1013.3
,2016-09-22,22.2,30.8,0.2,4.2,,NE,31,12:58,26.4,71,3,S,7,1014.7,29.2,51,3,NE,22,1010.5
,2016-09-23,21.7,30.5,0,7.8,,ENE,31,16:04,26.5,42,6,S,7,1013.6,28.6,58,,NE,19,1009.2
,2016-09-24,24.0,30.3,0.2,7.4,,NNE,43,13:57,27.8,64,8,NNW,17,1013.0,28.5,55,,NNE,28,1008.5
,2016-09-25,23.4,30.5,0,9.0,,N,33,12:53,28.6,65,4,NNE,17,1011.8,28.9,66,,N,22,1008.4
,2016-09-26,21.1,32.9,0,5.0,,NNW,30,16:26,28.6,60,,SW,7,1013.6,32.0,51,,ENE,20,1008.9
,2016-09-27,22.8,32.1,0,8.6,,ENE,31,12:48,26.5,71,5,WNW,2,1015.1,31.0,54,,NE,19,1009.9
,2016-09-28,23.1,30.1,0,7.6,,NE,37,13:52,27.6,60,1,ENE,22,1014.4,28.6,59,,ENE,26,1010.6
,2016-09-29,24.2,29.8,1.8,9.8,,NNE,46,14:12,25.0,83,8,N,11,1011.5,28.3,65,8,NNE,31,1006.7
,2016-09-30,24.4,33.2,0.2,4.8,,ENE,44,15:16,29.0,55,,SSW,15,1010.8,30.1,50,,ENE,33,1007.5
