"Daily Weather Observations for Townsville, Queensland for October 2016"
"Prepared at 13:05 GMT on Sunday  9 July 2017   IDCJDW4128.201610"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Townsville Aero {station 032040}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-10-1,20.6,31.0,0,10.6,,ENE,35,15:39,27.2,73,8,NE,17,1014.7,29.3,62,,ENE,28,1011.4
,2016-10-2,25.0,31.0,0,6.4,,NNE,37,12:58,28.3,64,3,NNE,19,1015.0,29.2,57,1,N,20,1011.1
,2016-10-3,25.2,31.3,0,10.6,,N,35,15:35,27.8,69,8,NNE,24,1013.3,29.8,55,,NNW,20,1008.8
,2016-10-4,24.5,31.9,0,7.6,,SSW,44,10:30,27.0,51,7,SW,7,1014.6,30.9,33,,NE,20,1011.5
,2016-10-5,21.2,29.5,0,8.2,,NE,46,13:32,25.4,54,7,SE,13,1018.2,28.2,45,,ENE,33,1014.6
,2016-10-6,19.8,30.4,0,8.2,,ENE,52,12:47,27.0,38,,ESE,20,1020.4,28.0,41,,ENE,35,1018.0
,2016-10-7,18.8,29.5,0,12.4,,ENE,46,11:03,26.3,45,,SE,28,1021.6,27.7,45,,ENE,28,1018.6
,2016-10-8,20.3,30.1,0,11.6,,ENE,41,15:57,26.4,47,,E,20,1021.2,28.2,49,,ENE,30,1016.5
,2016-10-9,17.3,29.3,0,10.2,,ENE,31,11:03,26.3,52,,ENE,13,1018.2,27.6,50,,ENE,22,1014.8
,2016-10-10,19.7,30.1,0,8.0,,,,,27.0,55,,ENE,17,1017.6,28.2,50,,NE,24,1014.0
,2016-10-11,17.6,31.2,0,9.0,,N,30,17:02,27.1,58,,N,9,1013.9,29.2,47,,N,20,1008.9
,2016-10-12,19.4,31.5,0,7.6,,ENE,37,14:35,28.5,49,,SW,4,1012.4,29.7,55,,NE,26,1009.6
,2016-10-13,24.1,31.1,0,8.6,,NE,37,15:23,28.3,58,,NE,13,1013.4,29.2,53,4,N,24,1010.0
,2016-10-14,23.4,30.1,0,8.0,,ENE,46,13:13,26.3,63,7,ESE,20,1015.1,26.3,63,8,ENE,33,1012.4
,2016-10-15,21.5,28.9,0,11.2,,ESE,50,04:10,24.8,60,8,ESE,26,1017.5,26.9,54,7,ENE,30,1014.6
,2016-10-16,20.4,30.3,0,8.0,,E,44,10:00,26.6,57,1,ESE,28,1017.1,28.4,62,3,ENE,28,1013.6
,2016-10-17,23.3,30.0,0,8.6,,NNE,35,11:27,27.3,69,,NNE,17,1015.8,29.0,43,,NNE,26,1011.4
,2016-10-18,22.0,31.0,0,8.4,,,,,26.9,64,8,NW,9,1015.4,29.3,53,,,,1011.9
,2016-10-19,22.7,31.2,0,9.6,,,,,28.1,58,,ENE,19,1015.8,28.7,58,,NE,24,1013.2
,2016-10-20,25.1,31.1,0,11.0,,,,,28.4,63,,ENE,22,1016.9,29.2,56,,ENE,30,1014.5
,2016-10-21,23.8,30.7,0,11.6,,ENE,43,12:14,28.2,54,8,E,28,1018.4,28.6,51,,ENE,30,1015.2
,2016-10-22,23.7,30.1,0,12.0,,NE,35,11:32,28.2,50,,ENE,20,1016.3,28.8,51,8,ENE,26,1012.5
,2016-10-23,23.1,31.7,0,10.0,,S,39,09:32,28.0,55,,SW,15,1014.2,27.3,62,8,ENE,20,1011.0
,2016-10-24,20.8,28.4,8.2,6.8,,NE,44,13:40,24.1,63,2,S,13,1016.3,26.0,54,,NE,31,1012.7
,2016-10-25,18.8,29.8,0,8.4,,NE,41,11:44,25.5,52,1,E,24,1017.8,27.8,43,,NE,30,1014.1
,2016-10-26,21.6,29.9,0,10.4,,E,41,09:22,27.6,65,,E,26,1018.4,28.2,60,,ENE,31,1014.1
,2016-10-27,23.0,30.0,0,11.6,,ENE,43,13:27,27.0,54,,ENE,19,1016.4,27.7,58,,ENE,31,1011.9
,2016-10-28,21.6,30.4,0,9.4,,NE,37,13:24,27.8,55,2,NE,15,1015.0,28.6,54,,ENE,30,1011.3
,2016-10-29,24.7,30.6,0,11.2,,ENE,50,10:23,26.7,74,8,E,19,1015.3,28.7,56,,ENE,30,1012.4
,2016-10-30,24.2,30.2,0,11.0,,NE,37,09:32,28.2,53,,ENE,26,1016.9,29.0,50,,NE,24,1012.9
,2016-10-31,23.5,30.5,0,10.8,,NE,33,11:13,28.1,50,,ENE,24,1014.3,28.5,50,,NE,20,1010.7
