"Daily Weather Observations for Townsville, Queensland for November 2016"
"Prepared at 13:04 GMT on Saturday  8 July 2017   IDCJDW4128.201611"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Townsville Aero {station 032040}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-11-1,22.1,30.3,0,10.0,,NE,31,08:42,28.0,56,6,NE,15,1011.8,28.9,54,1,N,19,1008.2
,2016-11-2,23.8,31.7,0,10.6,,N,33,13:37,28.2,62,4,N,13,1012.0,29.5,53,,N,24,1008.9
,2016-11-3,25.3,31.4,0,7.6,,ENE,37,11:59,28.4,62,,ENE,22,1014.7,29.2,61,,ENE,26,1012.3
,2016-11-4,24.6,31.2,0.4,9.6,,ENE,37,10:53,28.3,67,8,ENE,22,1014.2,29.3,60,,ENE,26,1010.5
,2016-11-5,23.9,30.9,6.8,8.8,,ENE,37,15:01,26.1,83,8,E,17,1013.5,28.7,68,,ENE,30,1010.4
,2016-11-6,22.4,32.6,0.6,8.6,,N,35,11:55,29.4,63,1,NNW,7,1012.3,30.3,56,,N,20,1009.0
,2016-11-7,23.4,33.5,0,8.0,,ENE,33,17:00,29.2,56,1,NNE,15,1013.9,31.2,50,,NE,22,1009.7
,2016-11-8,22.5,32.0,0,11.0,,ENE,39,15:13,29.3,51,1,NNE,17,1013.7,29.6,55,,ENE,31,1010.3
,2016-11-9,24.0,32.4,0,10.2,,NE,37,14:29,29.7,52,7,NNE,17,1013.8,30.1,59,,ENE,30,1010.1
,2016-11-10,24.0,32.7,0,14.0,,NNW,35,11:45,30.2,58,3,N,17,1013.0,31.5,51,,ENE,19,1008.6
,2016-11-11,26.0,34.7,0,12.0,,N,33,15:50,30.2,66,1,NW,19,1011.9,32.7,54,,N,20,1007.7
,2016-11-12,26.2,33.6,0,9.8,,SW,46,19:57,30.5,67,8,N,20,1011.6,31.4,61,,N,24,1007.6
,2016-11-13,23.9,33.2,0.2,7.6,,SW,57,20:52,29.8,63,8,SW,11,1010.8,31.0,61,,N,24,1005.9
,2016-11-14,22.4,34.6,3.0,9.0,,ENE,39,14:22,28.6,43,8,SW,17,1010.4,33.0,35,,ENE,20,1007.1
,2016-11-15,20.5,33.9,0,11.6,,S,46,07:06,30.5,12,,SSE,22,1014.0,30.3,31,,ENE,31,1011.0
,2016-11-16,18.5,31.4,0,12.0,,ENE,48,12:37,28.7,49,1,E,24,1016.3,28.7,46,1,ENE,30,1014.1
,2016-11-17,22.3,31.6,0,11.8,,E,56,11:45,29.1,44,1,ESE,26,1017.2,30.5,35,,ENE,35,1014.4
,2016-11-18,18.0,31.2,0,,,E,52,11:29,28.1,49,5,ESE,24,1015.3,29.9,40,,E,39,1012.3
,2016-11-19,21.4,31.2,0,11.6,,E,54,11:14,27.4,52,8,ESE,30,1013.7,28.9,50,7,E,31,1011.2
,2016-11-20,22.9,31.3,0,10.8,,ENE,48,14:30,28.8,53,8,E,24,1014.4,29.3,55,,ENE,37,1011.4
,2016-11-21,21.7,31.1,0,12.0,,ENE,48,15:03,28.1,45,1,SE,19,1013.7,29.5,47,,ENE,37,1010.4
,2016-11-22,21.4,31.6,0,12.0,,NE,44,12:21,28.7,50,1,E,20,1012.8,28.3,65,1,ENE,31,1009.2
,2016-11-23,21.9,31.6,0,9.4,,ENE,35,13:10,28.0,62,1,NE,17,1012.1,29.9,55,,ENE,30,1007.6
,2016-11-24,20.3,33.1,0,9.0,,NE,30,11:24,28.7,61,1,NW,13,1010.2,31.6,33,,NE,20,1007.1
,2016-11-25,23.4,31.7,0,9.4,,ENE,37,12:18,29.6,58,4,NNE,13,1009.9,29.5,60,,NE,28,1008.4
,2016-11-26,25.8,31.7,0,9.2,,ENE,41,12:44,29.1,63,8,ENE,17,1011.7,29.9,62,,NE,31,1009.2
,2016-11-27,24.2,32.5,0,12.0,,ENE,44,15:01,28.6,59,7,E,20,1012.8,30.7,52,,ENE,35,1009.9
,2016-11-28,,32.2,0,11.2,,,,,28.6,59,8,E,15,1012.9,30.5,51,,NE,31,1009.6
,2016-11-29,24.4,31.9,0,11.4,,ENE,43,14:34,28.4,53,7,SE,13,1011.8,29.7,52,,ENE,33,1008.5
,2016-11-30,22.2,32.5,0,9.0,,E,35,16:28,28.8,57,2,NNW,13,1011.7,31.5,47,,NNW,24,1007.7
