"Daily Weather Observations for Townsville, Queensland for December 2016"
"Prepared at 16:05 GMT on Friday  7 July 2017   IDCJDW4128.201612"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Townsville Aero {station 032040}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-12-1,25.2,33.4,0,9.8,,NNW,37,15:57,29.5,57,4,N,15,1012.7,31.4,49,,NE,17,1008.8
,2016-12-2,23.1,35.4,0,8.8,,ENE,33,15:14,30.6,51,,NNW,17,1013.0,33.0,46,,NE,19,1010.3
,2016-12-3,22.7,33.5,0,10.0,,ENE,37,15:45,30.4,54,,NNW,9,1013.6,31.2,57,,ENE,26,1011.5
,2016-12-4,24.2,32.7,0,11.0,,NE,35,08:37,29.8,59,,ENE,22,1016.1,31.8,50,,NE,20,1011.7
,2016-12-5,25.0,31.8,0,11.8,,NE,39,13:30,30.4,49,1,ENE,17,1015.4,30.5,53,,ENE,30,1012.0
,2016-12-6,25.1,32.0,0,9.8,,ENE,39,15:06,29.7,55,,ENE,19,1015.0,30.7,53,,ENE,30,1011.2
,2016-12-7,25.3,32.1,0,12.0,,ENE,39,14:39,28.9,57,,ENE,17,1012.6,30.2,54,,ENE,28,1010.7
,2016-12-8,25.7,32.7,0,11.0,,ENE,39,12:33,30.8,61,,ENE,26,1011.3,30.7,56,,ENE,28,1008.4
,2016-12-9,23.2,33.8,0,11.2,,NNE,37,13:05,30.1,56,1,ENE,17,1011.2,32.7,51,,NE,17,1008.0
,2016-12-10,26.8,33.8,0,10.4,,ENE,48,14:22,30.3,61,6,ENE,20,1013.0,31.2,48,2,ENE,37,1010.4
,2016-12-11,23.9,30.1,5.4,11.8,,E,48,12:59,28.3,63,8,ESE,28,1014.0,28.7,55,8,E,26,1011.7
,2016-12-12,23.7,32.0,1.6,7.0,,E,57,21:45,27.2,70,6,ESE,22,1014.1,30.0,55,8,ENE,30,1012.6
,2016-12-13,23.2,29.7,15.4,8.8,,E,39,20:09,25.9,79,8,ESE,28,1014.8,28.5,66,8,E,22,1012.0
,2016-12-14,23.5,30.7,3.0,4.2,,ESE,35,11:21,25.7,85,8,E,17,1014.2,30.1,63,6,ENE,24,1010.6
,2016-12-15,24.3,31.7,0,6.8,,NE,41,13:54,30.4,60,2,E,15,1011.8,30.1,63,,ENE,26,1008.7
,2016-12-16,26.3,32.4,0,9.2,,NE,37,13:24,29.5,67,,ENE,17,1011.1,30.5,65,1,ENE,28,1007.9
,2016-12-17,25.3,31.9,1.2,9.2,,ENE,33,12:56,29.4,67,7,NE,15,1011.8,29.6,67,8,NE,24,1008.3
,2016-12-18,25.5,32.9,0.4,7.6,,NE,33,12:15,29.8,67,2,ENE,17,1011.7,31.2,63,3,NE,26,1008.8
,2016-12-19,25.5,32.0,0,9.2,,NE,41,10:10,30.0,55,5,E,20,1012.3,30.7,57,,ENE,31,1009.5
,2016-12-20,25.5,32.4,0.2,11.2,,ENE,48,14:43,29.3,66,4,E,15,1012.0,31.2,54,,ENE,37,1009.4
,2016-12-21,24.7,32.8,0,11.4,,ENE,37,13:25,29.9,57,1,E,17,1012.8,30.9,55,,ENE,28,1009.9
,2016-12-22,23.9,32.5,0,9.4,,NE,39,15:49,29.9,58,7,NNE,13,1012.2,30.9,62,,ENE,28,1009.3
,2016-12-23,25.8,32.5,0,11.4,,NE,43,13:21,28.7,82,8,SE,22,1012.3,31.4,50,,E,33,1010.2
,2016-12-24,23.1,32.4,0,7.4,,ENE,43,14:03,30.4,54,1,ESE,22,1012.9,30.3,57,,ENE,33,1010.0
,2016-12-25,25.4,32.1,0,8.8,,,,,28.0,64,1,SE,13,1011.5,30.4,57,1,ENE,28,1008.8
,2016-12-26,23.9,33.4,0,10.2,,ENE,41,17:09,30.7,51,4,SE,15,1010.2,32.0,46,,NE,20,1005.8
,2016-12-27,24.5,32.6,0.4,10.8,,NE,41,13:25,29.4,57,2,SE,13,1010.0,30.3,58,,NE,28,1006.5
,2016-12-28,24.6,33.4,1.2,12.0,,ENE,48,12:29,30.1,55,,SE,17,1008.9,31.4,60,2,ENE,33,1006.5
,2016-12-29,25.0,33.1,,,,ENE,41,12:34,29.4,60,8,SSE,9,1008.1,31.0,61,,ENE,30,1004.5
,2016-12-30,25.6,32.8,,,,NE,41,13:19,29.8,62,2,E,17,1005.8,32.1,57,,ENE,31,1002.9
,2016-12-31,26.1,33.5,2.2,30.2,,NNE,37,13:00,29.9,65,7,W,11,1004.6,31.8,57,,N,17,1002.3
