"Daily Weather Observations for Townsville, Queensland for January 2017"
"Prepared at 13:05 GMT on Thursday  6 July 2017   IDCJDW4128.201701"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Townsville Aero {station 032040}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-01-1,25.3,33.9,0,8.0,,ENE,37,13:49,31.2,58,,ENE,11,1004.6,31.6,61,,ENE,30,1001.5
,2017-01-2,27.3,34.9,0,10.0,,SSW,46,15:38,29.8,70,8,NNW,9,1005.4,31.7,60,3,ENE,13,1002.0
,2017-01-3,24.2,34.4,0.4,6.2,,NNW,39,12:03,31.3,56,,WNW,7,1005.6,32.8,48,,NNE,26,1002.4
,2017-01-4,25.6,33.6,0,8.0,,ENE,39,11:17,29.7,70,8,SE,11,1006.6,30.5,68,3,ENE,28,1003.7
,2017-01-5,24.7,33.3,5.2,8.0,,ENE,33,14:43,28.8,72,8,SSW,13,1006.2,31.9,64,8,ENE,26,1002.2
,2017-01-6,24.7,31.3,34.8,7.6,,ESE,56,19:57,26.6,91,8,SSE,17,1003.9,26.0,97,6,SE,17,1000.9
,2017-01-7,24.7,31.4,36.2,4.6,,ESE,39,13:22,27.7,78,8,S,13,1002.9,27.8,78,8,ESE,26,1000.7
,2017-01-8,25.1,32.5,0,8.0,,SE,56,15:25,29.2,64,6,ESE,11,1005.3,31.6,58,6,ESE,26,1003.9
,2017-01-9,25.7,32.7,0.6,6.6,,ESE,52,14:41,29.1,66,8,SSE,17,1008.1,32.2,62,,ESE,33,1005.1
,2017-01-10,26.0,33.1,0,7.6,,ENE,50,14:11,30.4,63,1,ESE,28,1009.1,32.0,61,,E,35,1006.7
,2017-01-11,25.6,32.7,0.8,9.8,,E,50,13:25,30.1,68,8,ESE,28,1010.0,31.5,65,1,E,35,1007.1
,2017-01-12,26.0,31.5,18.8,9.0,,NNE,37,13:15,28.9,84,8,E,17,1009.3,30.8,69,,N,22,1006.9
,2017-01-13,26.8,32.3,0.4,6.8,,NNE,31,12:31,28.1,80,8,NNW,22,1011.1,31.1,71,8,NE,19,1008.4
,2017-01-14,27.1,32.5,1.4,6.2,,NNW,30,12:21,29.9,76,,NNW,7,1009.9,27.1,92,6,SSW,13,1008.8
,2017-01-15,24.8,28.9,6.2,3.2,,WSW,33,12:40,26.4,89,8,NE,13,1009.9,25.7,91,8,WNW,7,1007.6
,2017-01-16,24.2,30.5,32.4,4.0,,NNW,39,00:31,26.9,89,8,SE,11,1010.3,29.4,75,6,ENE,28,1008.7
,2017-01-17,25.4,31.0,4.4,6.2,,ENE,37,15:01,28.4,78,8,NE,11,1013.6,30.0,73,1,ENE,28,1010.9
,2017-01-18,25.5,31.3,0,8.0,,NE,33,13:33,29.8,64,4,ENE,13,1013.6,30.4,64,4,ENE,24,1010.1
,2017-01-19,25.3,32.8,0,8.0,,ENE,30,14:27,29.9,66,1,SSW,9,1011.3,31.9,50,,NE,22,1007.0
,2017-01-20,24.8,32.6,0,10.8,,NE,31,14:20,30.0,55,, ,Calm,1009.8,31.5,47,,ENE,24,1005.7
,2017-01-21,24.2,33.0,0,9.0,,NE,33,13:21,29.8,67,,NE,7,1009.4,31.9,64,,ENE,20,1006.2
,2017-01-22,25.5,32.4,0,7.4,,ENE,39,22:12,30.2,56,,ENE,13,1010.0,31.7,63,,ENE,26,1008.7
,2017-01-23,26.3,32.9,0.2,11.8,,ESE,39,23:09,30.6,60,1,E,22,1011.7,31.5,59,,ENE,24,1009.8
,2017-01-24,24.7,31.5,19.0,7.4,,SE,35,03:14,28.8,70,8,SE,15,1013.7,31.1,67,2,ENE,22,1010.4
,2017-01-25,25.4,31.3,0,6.8,,ENE,41,15:17,28.4,73,8,SE,19,1012.9,30.9,70,3,ENE,31,1009.8
,2017-01-26,24.6,32.2,,,,ENE,39,14:32,28.7,67,2,SSE,17,1012.0,30.8,59,,NE,31,1009.3
,2017-01-27,25.0,32.0,1.2,16.2,,NE,33,14:59,29.6,64,6,SE,11,1011.3,30.8,60,,NE,26,1008.8
,2017-01-28,26.3,32.3,0,8.6,,ENE,35,16:13,29.1,70,2,E,17,1012.1,31.6,62,3,NE,22,1010.0
,2017-01-29,26.1,32.5,1.2,9.2,,ENE,41,15:29,29.7,64,4,SE,17,1012.4,31.8,53,,ENE,31,1009.6
,2017-01-30,24.0,32.5,0,9.8,,E,44,13:51,29.8,59,,SSE,15,1010.3,29.7,64,8,SE,26,1008.1
,2017-01-31,24.4,31.4,1.0,6.4,,NE,46,13:38,27.9,74,8,SSE,19,1010.0,24.9,96,8,ENE,20,1008.9
