"Daily Weather Observations for Townsville, Queensland for February 2017"
"Prepared at 13:04 GMT on Wednesday  5 July 2017   IDCJDW4128.201702"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Townsville Aero {station 032040}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-02-1,23.3,31.9,54.2,,,ENE,39,12:10,29.4,79,8,ESE,19,1012.5,30.8,70,4,ENE,28,1010.0
,2017-02-2,25.8,31.9,0.2,6.4,,,,,29.8,71,,ESE,20,1011.8,31.1,70,,ENE,24,1008.7
,2017-02-3,24.8,31.9,5.4,8.6,,ENE,41,14:16,29.4,69,2,ESE,20,1011.0,31.4,49,,ENE,30,1008.4
,2017-02-4,24.8,31.9,0,9.6,,E,44,12:48,29.1,72,1,ESE,24,1010.7,31.1,62,8,ENE,28,1008.3
,2017-02-5,25.7,32.3,1.4,9.4,,ENE,50,10:27,28.8,76,6,ESE,24,1010.5,31.1,61,,E,33,1007.1
,2017-02-6,25.0,31.9,0,8.0,,E,48,20:07,29.2,57,,ESE,24,1010.0,31.1,66,1,ENE,28,1006.3
,2017-02-7,25.2,32.6,1.6,9.6,,ENE,50,14:13,29.9,63,,SE,22,1009.9,29.6,67,8,ENE,28,1007.5
,2017-02-8,24.8,33.3,0.2,8.2,,E,48,16:37,29.2,66,1,SE,20,1010.1,32.1,56,,ENE,33,1007.0
,2017-02-9,25.0,33.6,0,8.6,,SE,48,11:22,30.2,60,,SE,24,1010.2,32.2,51,,E,31,1007.0
,2017-02-10,25.8,32.5,0,8.8,,NE,41,15:05,29.7,64,,E,28,1010.5,31.6,60,,ENE,33,1007.5
,2017-02-11,25.7,32.1,0,10.4,,ENE,28,10:22,29.9,65,1,ENE,15,1010.5,31.1,60,,ENE,15,1007.9
,2017-02-12,24.5,33.4,0,6.4,,N,31,16:58,28.4,70,7,NW,13,1008.1,32.3,44,,N,17,1004.9
,2017-02-13,25.7,35.9,0,7.2,,SW,31,23:59,30.3,66,,NW,17,1007.2,34.8,53,,NNW,15,1003.2
,2017-02-14,28.2,37.2,0,11.2,,SW,35,00:02,32.4,46,,WSW,19,1008.4,35.6,38,6,NNW,17,1005.2
,2017-02-15,24.8,33.9,1.8,9.8,,ENE,37,12:34,29.0,76,7,SE,17,1010.8,29.8,72,4,ENE,13,1007.4
,2017-02-16,23.7,29.4,38.0,11.6,,E,61,13:41,24.6,94,8,E,22,1012.1,23.5,93,8,ESE,20,1011.0
,2017-02-17,22.9,31.7,13.6,2.2,,E,31,09:58,29.2,73,1,ESE,19,1013.5,30.6,61,,NE,24,1011.6
,2017-02-18,24.7,32.2,0,8.0,,N,28,13:01,28.7,75,7, ,Calm,1012.3,32.0,48,,N,11,1008.7
,2017-02-19,25.7,32.7,0,5.8,,WSW,33,17:53,29.3,69,7,NW,13,1010.1,30.6,64,5,N,22,1005.9
,2017-02-20,24.9,32.2,1.8,5.8,,NNE,31,12:52,29.5,71,7,E,4,1009.9,30.5,68,1,NNW,19,1008.0
,2017-02-21,26.3,31.5,0,4.8,,ENE,31,17:41,26.9,82,8,E,11,1013.0,30.4,72,2,ENE,24,1010.6
,2017-02-22,25.0,32.5,0,6.4,,ESE,37,23:02,29.4,73,8,SE,17,1013.5,31.4,63,8,ENE,28,1010.9
,2017-02-23,24.3,31.3,20.0,8.2,,ESE,41,14:39,29.0,71,8,SE,11,1014.7,27.8,80,7,ESE,26,1011.9
,2017-02-24,25.9,32.4,0.6,5.6,,E,41,17:11,29.8,65,1,ESE,20,1014.0,31.3,70,1,ENE,28,1010.2
,2017-02-25,24.4,31.9,0,7.6,,ESE,37,04:24,27.6,73,7,SE,11,1012.9,31.7,61,6,ENE,26,1009.1
,2017-02-26,23.6,31.9,0,6.8,,ENE,39,13:00,28.7,65,1,ESE,20,1011.7,31.3,54,,ESE,28,1008.6
,2017-02-27,22.9,32.1,0,10.0,,SE,52,19:10,28.7,62,,SE,17,1012.6,30.9,61,,ENE,30,1009.6
,2017-02-28,23.7,32.2,0.4,8.4,,ENE,44,13:57,28.7,64,,SE,19,1012.1,31.3,58,,ENE,30,1009.4
