"Daily Weather Observations for Townsville, Queensland for March 2017"
"Prepared at 13:05 GMT on Tuesday  4 July 2017   IDCJDW4128.201703"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Townsville Aero {station 032040}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-03-1,24.0,33.1,0,7.8,,ENE,41,16:04,29.2,62,,SSE,22,1012.0,31.8,59,,ENE,30,1008.4
,2017-03-2,25.1,32.9,0,9.4,,ENE,48,14:51,29.5,67,4,SE,24,1010.5,31.5,63,3,ENE,35,1007.0
,2017-03-3,24.8,30.9,4.0,8.0,,ENE,61,16:54,29.0,77,8,ESE,11,1010.1,29.0,77,7,E,13,1007.2
,2017-03-4,23.4,30.5,9.4,2.8,,E,41,16:29,26.8,87,8, ,Calm,1009.6,29.2,75,3,ENE,30,1007.2
,2017-03-5,25.0,32.2,0,5.6,,ENE,30,14:25,28.8,74,8,ESE,9,1010.1,31.1,68,,ENE,24,1005.9
,2017-03-6,26.6,32.7,0,7.2,,NE,30,15:30,30.0,73,8,W,7,1009.8,32.0,59,8,NE,19,1007.2
,2017-03-7,26.7,33.8,0,2.8,,NNE,30,11:15,30.6,67,8,NW,9,1010.7,33.3,54,,NE,17,1007.3
,2017-03-8,25.1,32.3,2.4,7.6,,E,35,00:43,29.1,81,3, ,Calm,1010.7,31.6,67,,NE,26,1006.8
,2017-03-9,24.8,29.9,10.4,6.6,,E,39,13:21,27.7,84,8,SE,17,1009.8,26.2,94,8,ESE,20,1006.5
,2017-03-10,21.2,30.5,14.4,3.6,,ENE,30,12:41,26.6,70,,SSE,11,1011.9,29.6,63,,ENE,20,1008.7
,2017-03-11,23.2,31.2,0,7.0,,ENE,31,16:58,28.6,67,,SW,4,1011.5,29.7,50,1,NE,19,1009.2
,2017-03-12,21.8,31.4,0,7.0,,NE,33,14:54,28.2,66,2,SE,9,1011.0,31.1,59,,NE,24,1007.4
,2017-03-13,21.9,33.0,0,5.8,,NNE,26,13:18,29.1,66,,SSW,6,1010.9,32.4,54,,NE,15,1007.4
,2017-03-14,25.2,33.5,0,6.2,,NNW,26,10:58,30.1,73,,NNW,9,1011.5,32.2,57,,N,15,1007.9
,2017-03-15,27.9,33.4,0,6.6,,NNE,33,07:55,29.9,77,8,NNW,22,1010.4,32.0,58,,NNE,20,1007.1
,2017-03-16,25.4,33.3,0,8.0,,ENE,31,12:38,29.7,76,3,ENE,7,1009.9,31.1,66,8,NE,13,1006.7
,2017-03-17,26.7,34.8,0,4.8,,NE,31,14:55,31.5,68,2,NW,9,1011.2,33.1,56,1,NNE,19,1008.1
,2017-03-18,27.4,33.4,0,7.4,,SW,33,12:18,31.4,70,1,NE,15,1011.9,30.7,69,,N,9,1009.4
,2017-03-19,23.0,32.1,10.4,5.4,,ENE,39,17:51,27.6,81,7, ,Calm,1011.8,30.3,66,8,NE,20,1009.1
,2017-03-20,23.9,31.5,37.0,7.0,,ENE,31,13:43,27.9,80,,SE,13,1011.8,29.7,65,3,ENE,19,1008.2
,2017-03-21,24.4,31.0,3.2,6.4,,ENE,31,14:00,28.2,82,8, ,Calm,1011.2,30.3,70,,ENE,26,1007.5
,2017-03-22,24.8,31.8,0.4,4.4,,SSE,41,22:58,28.3,78,,WSW,9,1010.8,31.2,68,,NE,15,1006.5
,2017-03-23,24.3,31.0,33.0,7.8,,E,54,21:30,24.9,96,7,ESE,9,1011.0,30.6,68,,E,20,1007.3
,2017-03-24,23.3,30.4,36.2,5.6,,ESE,31,15:34,26.3,88,8,SSW,7,1011.0,29.8,68,6,ESE,13,1007.3
,2017-03-25,23.9,33.5,0.6,3.0,,E,39,17:14,29.1,64,,S,15,1010.0,32.9,53,,S,13,1006.5
,2017-03-26,24.7,32.5,0,6.6,,SSW,41,09:20,27.7,62,,SW,28,1009.5,31.5,53,1,SSW,22,1004.9
,2017-03-27,27.0,32.1,0,7.0,,SW,56,19:20,29.5,60,,SSW,30,1006.6,31.4,54,3,SW,26,1002.6
,2017-03-28,27.0,30.9,,,,WSW,70,17:54,28.1,66,8,SW,28,1001.2,30.4,59,8,W,28,996.7
,2017-03-29,24.5,32.1,4.6,14.0,,N,59,14:55,30.8,66,7,NNW,37,1001.6,30.8,75,7,N,41,999.5
,2017-03-30,26.2,33.8,0,4.8,,NNW,35,00:41,30.8,73,,NW,15,1008.6,33.0,70,,N,19,1005.8
,2017-03-31,26.5,34.7,0,6.6,,SW,37,09:35,29.6,33,,SSW,24,1010.6,33.3,38,,NE,13,1007.7
