"Daily Weather Observations for Townsville, Queensland for April 2017"
"Prepared at 13:05 GMT on Monday 17 July 2017   IDCJDW4128.201704"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Townsville Aero {station 032040}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-04-1,20.8,30.5,0,8.0,,ENE,33,14:12,27.2,40,,S,4,1012.8,29.8,37,,ENE,24,1009.7
,2017-04-2,18.2,30.7,0,8.0,,SSE,33,11:55,26.6,64,,SSW,4,1013.8,30.0,59,1,ENE,22,1011.3
,2017-04-3,22.5,31.5,1.4,5.4,,E,35,13:32,27.4,66,6,SSE,13,1014.6,30.1,64,1,ENE,26,1011.2
,2017-04-4,21.8,31.1,0,7.0,,ENE,44,16:22,27.4,59,,SSE,13,1015.0,29.6,64,5,ENE,28,1011.1
,2017-04-5,23.9,30.0,0,8.0,,SE,39,00:04,27.4,53,5,SE,19,1014.6,29.2,58,,ENE,26,1010.2
,2017-04-6,22.9,30.5,0,8.0,,E,50,16:07,26.7,64,,SSE,15,1015.0,29.3,61,1,E,35,1011.8
,2017-04-7,22.3,31.2,0,9.4,,ESE,48,10:23,27.9,59,1,SE,20,1016.6,29.0,57,8,E,31,1013.4
,2017-04-8,22.2,30.5,0,7.4,,ESE,43,10:05,27.1,61,,SSE,17,1017.3,29.0,60,,ENE,30,1013.0
,2017-04-9,19.4,31.1,0,8.0,,ENE,33,15:55,26.5,56,,SSW,15,1014.7,29.7,54,,NE,22,1009.1
,2017-04-10,18.2,32.5,0,6.6,,NE,31,13:49,27.0,59,,W,4,1011.3,30.3,49,,ENE,24,1007.2
,2017-04-11,19.6,32.1,0,7.2,,ENE,41,16:16,28.1,53,,SSE,15,1012.6,30.1,57,,ENE,30,1010.0
,2017-04-12,21.8,30.4,0,7.6,,ENE,37,14:46,26.8,55,,SSE,20,1015.7,29.4,46,,ENE,28,1012.5
,2017-04-13,20.9,30.7,0,8.4,,ENE,39,14:42,26.7,57,,SSE,17,1017.6,29.2,51,,ENE,30,1014.1
,2017-04-14,22.9,30.1,13.2,8.6,,ENE,44,12:22,26.4,68,1,SE,15,1017.3,29.0,50,8,ESE,26,1013.8
,2017-04-15,21.5,30.0,0,8.0,,ENE,48,12:14,25.9,63,8,SE,13,1016.7,28.9,46,,E,33,1013.7
,2017-04-16,20.2,29.4,0,9.0,,E,44,14:52,26.3,59,,SE,17,1016.5,28.3,49,,E,33,1013.3
,2017-04-17,19.8,29.0,0.4,7.6,,ESE,50,12:32,26.3,57,,SE,17,1017.0,27.9,55,6,ENE,26,1014.2
,2017-04-18,20.9,30.1,0.2,7.0,,E,50,15:22,26.4,54,,ESE,15,1018.6,29.0,53,1,E,30,1015.4
,2017-04-19,21.2,29.8,0,7.8,,ESE,44,16:42,25.8,61,8,SSE,17,1019.6,26.1,76,8,ENE,24,1016.1
,2017-04-20,20.3,29.3,0.4,7.2,,ESE,44,16:39,26.1,58,6,S,17,1018.6,28.0,55,8,SE,22,1015.7
,2017-04-21,22.7,30.7,0.2,4.6,,ESE,50,10:25,27.2,58,3,SE,24,1017.9,29.0,50,8,E,33,1015.1
,2017-04-22,21.0,27.6,3.2,8.6,,ESE,41,18:39,21.2,95,8,W,7,1018.2,27.2,57,8,ESE,22,1014.9
,2017-04-23,19.0,29.5,1.4,2.4,,,,,25.0,67,7,SSE,17,1017.6,28.6,57,,ENE,24,1014.7
,2017-04-24,19.0,29.7,0.2,5.4,,E,41,13:15,25.9,66,,ESE,13,1017.3,27.9,63,1,ENE,31,1014.4
,2017-04-25,20.7,29.1,0,7.4,,E,33,11:14,26.3,64,1,SE,19,1016.7,27.2,69,,NE,24,1013.4
,2017-04-26,19.0,29.3,0,5.6,,NNE,28,12:07,25.7,72,, ,Calm,1015.1,28.1,57,,NNW,17,1011.4
,2017-04-27,19.5,33.0,0,5.2,,SSW,39,09:13,27.3,34,,SSW,28,1014.1,31.0,40,,NW,15,1009.8
,2017-04-28,18.9,28.2,0,9.8,,SSW,39,01:02,21.5,29,,SW,20,1017.5,27.7,16,,SSE,19,1012.9
,2017-04-29,11.9,26.4,0,8.0,,ENE,33,13:22,21.8,28,,S,9,1017.9,25.1,29,,NE,24,1014.2
,2017-04-30,14.0,29.3,0,6.0,,E,48,13:42,23.7,51,,SSW,9,1017.1,25.7,64,8,ESE,30,1014.0
