"Daily Weather Observations for Townsville, Queensland for May 2017"
"Prepared at 16:05 GMT on Sunday 16 July 2017   IDCJDW4128.201705"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Townsville Aero {station 032040}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-05-1,18.9,28.9,0,6.8,,E,37,11:50,25.6,60,,SE,20,1017.4,27.3,62,,ENE,30,1014.5
,2017-05-2,20.1,29.8,0,6.2,,NE,33,13:43,25.5,68,8,SE,11,1017.1,27.1,65,,NE,24,1014.0
,2017-05-3,19.2,29.1,0,5.6,,NE,35,14:47,25.8,69,,SE,11,1017.5,27.5,62,1,ENE,28,1014.7
,2017-05-4,20.1,29.9,0,5.8,,SE,52,14:46,25.5,66,7,SE,15,1019.0,24.6,80,8,SSE,20,1016.4
,2017-05-5,21.3,30.7,0.8,5.8,,SSE,41,11:33,26.0,55,,SSE,20,1020.5,27.9,53,7,SSE,24,1017.7
,2017-05-6,21.5,29.8,0,9.2,,ESE,37,12:32,25.9,57,7,S,24,1020.2,27.7,53,8,SE,19,1016.7
,2017-05-7,21.3,30.0,0.2,3.2,,ENE,39,14:45,26.1,57,8,S,17,1019.3,27.3,63,8,ENE,28,1015.3
,2017-05-8,16.2,29.5,0,6.4,,ENE,37,15:17,24.8,48,,SSE,9,1017.6,27.3,52,,ENE,28,1013.6
,2017-05-9,17.3,30.0,0,6.0,,SSE,33,13:07,24.4,59,8,SSE,11,1015.7,29.2,49,,NE,17,1011.1
,2017-05-10,20.5,29.8,0,5.6,,S,41,11:36,24.3,61,,SSW,26,1016.2,28.4,42,6,S,17,1013.0
,2017-05-11,15.9,26.4,0,7.4,,SSE,39,06:38,21.3,51,,SW,22,1019.2,25.4,45,,NE,24,1015.3
,2017-05-12,14.2,25.4,0,6.6,,SE,31,11:18,23.4,60,4,S,9,1018.3,22.2,83,8,ESE,17,1015.5
,2017-05-13,19.8,27.8,2.0,3.8,,ENE,39,13:03,22.4,77,8,SSW,11,1017.8,26.8,55,1,NE,20,1014.4
,2017-05-14,17.6,28.3,0,4.0,,NE,30,11:42,24.1,71,,SE,13,1016.7,26.3,65,,NE,19,1013.3
,2017-05-15,17.6,28.8,0,4.8,,NE,33,15:23,24.3,75,,ESE,9,1017.1,27.0,64,,ENE,28,1013.8
,2017-05-16,17.3,28.7,0,5.0,,NE,37,14:53,24.0,74,1,SSE,11,1017.0,26.4,67,,NE,31,1014.2
,2017-05-17,17.5,27.5,0,5.2,,ESE,41,15:14,25.2,67,1,SE,15,1017.6,26.2,66,8,E,24,1014.6
,2017-05-18,20.1,21.7,39.8,5.2,,SSW,50,13:57,21.6,95,8,SE,13,1017.2,20.6,96,8,S,20,1015.9
,2017-05-19,18.5,22.8,120.8,,,E,59,13:34,18.6,94,7,SW,13,1020.4,20.6,80,8,SSE,22,1015.0
,2017-05-20,16.6,27.7,1.8,1.4,,NNE,26,14:55,22.8,68,,NW,2,1016.2,27.1,61,,NE,17,1012.8
,2017-05-21,18.4,27.1,0,2.8,,ENE,31,15:01,23.5,75,,SE,9,1016.2,25.5,71,1,ENE,24,1013.9
,2017-05-22,17.9,28.6,0,3.6,,SE,37,23:44,23.7,76,,SW,7,1017.5,26.3,68,8,ENE,20,1013.7
,2017-05-23,22.0,28.8,1.0,6.2,,ESE,48,12:44,26.5,67,8,SE,19,1017.7,27.8,63,,E,28,1014.5
,2017-05-24,21.3,27.9,0,5.4,,E,39,13:51,24.9,60,,SSE,15,1019.4,26.3,60,,ENE,26,1015.8
,2017-05-25,16.2,28.5,0,5.6,,E,33,11:21,22.6,64,,S,9,1018.2,27.1,43,,ENE,20,1015.6
,2017-05-26,16.0,27.2,0,5.0,,NE,28,12:21,22.0,75,2,W,2,1018.4,25.9,53,4,NE,15,1015.5
,2017-05-27,16.3,26.8,0,5.0,,NE,33,11:23,22.2,67,2,SSE,9,1018.5,25.8,62,4,ENE,20,1015.5
,2017-05-28,17.2,27.3,0,4.0,,NE,30,15:23,22.9,75,,WSW,2,1017.9,25.5,69,,ENE,20,1015.0
,2017-05-29,16.9,26.8,0,4.0,,ENE,30,15:50,22.9,79,, ,Calm,1019.2,25.0,69,4,NE,17,1016.2
,2017-05-30,18.3,27.7,0,5.0,,E,33,14:23,22.5,71,8,S,11,1019.2,25.7,52,8,E,24,1017.5
,2017-05-31,17.8,28.5,0,3.2,,ESE,35,18:47,23.2,67,, ,Calm,1019.8,28.1,54,1,ESE,13,1016.5
