"Daily Weather Observations for Townsville, Queensland for June 2017"
"Prepared at 13:04 GMT on Friday 14 July 2017   IDCJDW4128.201706"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Townsville Aero {station 032040}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-06-1,18.6,23.4,0,6.0,,ESE,37,00:14,21.9,49,8,SSW,17,1022.0,23.3,45,8,SSE,13,1019.8
,2017-06-2,17.1,26.0,0,5.4,,ESE,41,15:54,20.7,57,8,SSW,20,1022.9,24.7,53,5,SE,20,1019.6
,2017-06-3,19.2,26.1,0,5.6,,SE,37,00:48,20.9,58,8,S,17,1022.1,25.6,48,7,SE,15,1018.8
,2017-06-4,14.9,25.8,0,4.0,,ENE,33,15:06,21.7,45,,SSE,13,1021.2,24.7,52,,ENE,24,1017.3
,2017-06-5,14.5,26.0,0,4.8,,SSE,39,11:58,21.3,58,,SSE,22,1020.5,24.9,55,,E,28,1017.2
,2017-06-6,15.5,26.5,0,5.2,,ENE,31,14:40,21.6,52,8,SW,9,1020.1,24.8,60,6,ENE,24,1016.9
,2017-06-7,14.0,25.9,0,5.2,,WNW,35,13:17,20.9,66,,SSW,7,1020.4,24.7,37,,NE,24,1016.9
,2017-06-8,8.9,23.5,0,5.4,,NE,31,13:25,17.7,60,, ,Calm,1021.8,22.5,37,,NE,22,1018.8
,2017-06-9,9.9,24.0,0,5.2,,ENE,33,13:27,19.1,43,,SE,2,1022.2,22.8,37,,ENE,24,1019.0
,2017-06-10,10.1,23.9,0,5.0,,SE,30,11:22,15.8,79,3, ,Calm,1022.5,22.8,42,3,ENE,17,1019.2
,2017-06-11,14.6,22.2,0,2.8,,SW,30,09:50,20.1,53,8,S,9,1019.9,21.2,54,8,SE,11,1018.1
,2017-06-12,16.2,26.4,0.4,1.4,,SSW,41,12:42,20.9,53,,SW,20,1020.2,25.8,25,,SW,19,1016.7
,2017-06-13,9.0,25.9,0,6.0,,ENE,30,13:49,19.4,40,, ,Calm,1020.7,23.8,46,,NE,20,1018.1
,2017-06-14,11.3,23.7,0,4.0,,ENE,22,12:37,17.7,66,5,SW,4,1020.7,22.3,58,8,ENE,11,1018.8
,2017-06-15,12.4,25.9,0,2.0,,E,35,12:20,20.9,66,,SW,9,1020.3,24.7,56,,NE,24,1017.3
,2017-06-16,14.3,26.4,0,4.0,,ENE,31,14:54,21.8,69,,WSW,2,1019.7,24.8,64,5,NE,24,1015.8
,2017-06-17,15.4,26.5,0,5.0,,NE,30,13:31,22.2,68,,SSE,6,1019.3,24.9,60,,NE,19,1015.3
,2017-06-18,16.5,27.7,0,3.2,,NE,30,15:20,22.2,82,,SW,6,1018.8,26.4,54,,NE,19,1015.5
,2017-06-19,15.1,26.4,0,4.0,,NE,35,15:07,22.1,66,,SSE,9,1020.1,24.2,59,1,NE,28,1017.1
,2017-06-20,12.6,26.8,0,4.8,,NE,33,15:31,20.1,64,, ,Calm,1019.7,24.8,54,,NE,26,1016.7
,2017-06-21,15.5,26.7,0,4.4,,SE,44,11:47,21.8,60,,SSE,13,1020.8,25.1,50,,ENE,30,1017.7
,2017-06-22,12.7,,0,6.0,,,,,20.1,62,7,WNW,7,1021.8,25.4,52,,ESE,26,1018.4
,2017-06-23,13.0,25.9,0,5.8,,ESE,35,11:45,21.0,61,,SSE,7,1020.1,24.7,51,8,E,22,1016.4
,2017-06-24,14.3,25.6,0,4.6,,ESE,37,10:21,21.7,71,8,SE,7,1017.6,24.7,51,8,ESE,19,1015.6
,2017-06-25,16.5,25.8,0,2.8,,ESE,31,10:13,22.4,61,8,SE,15,1018.1,24.6,53,8,ENE,24,1015.7
,2017-06-26,14.7,26.6,0,3.8,,ENE,37,13:45,21.4,67,,SE,13,1019.5,25.1,53,,NE,22,1017.4
,2017-06-27,16.4,27.2,0,4.8,,SE,46,12:50,20.7,77,7, ,Calm,1019.8,26.0,59,1,E,28,1018.1
,2017-06-28,20.5,26.9,0,5.0,,E,43,17:16,23.6,75,5,ESE,22,1019.7,24.3,72,8,ENE,22,1017.7
,2017-06-29,21.0,27.0,0,5.2,,ESE,33,09:22,23.4,70,2,ESE,20,1020.0,24.6,71,8,ENE,17,1017.1
,2017-06-30,18.8,26.8,0,4.4,,S,33,10:53,23.0,69,7,SSW,15,1018.8,25.9,55,8,SE,13,1016.4
