"Daily Weather Observations for Townsville, Queensland for July 2017"
"Prepared at 06:27 GMT on Tuesday 18 July 2017   IDCJDW4128.201707"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Townsville Aero {station 032040}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-07-1,19.7,24.6,0,,,ESE,35,10:15,21.7,67,8,SSE,9,1020.5,24.3,57,7,SE,24,1018.6
,2017-07-2,19.6,25.0,0.4,,,ESE,52,10:50,21.8,81,8,SE,17,1020.4,23.4,71,8,ESE,26,1018.6
,2017-07-3,19.7,25.8,0,,,ESE,39,09:23,23.6,65,8,ESE,24,1021.0,24.4,65,7,E,30,1017.5
,2017-07-4,16.5,26.7,0,,,E,30,13:06,22.3,79,8,SE,13,1020.7,25.6,66,5,ENE,20,1017.7
,2017-07-5,16.6,26.7,0,,,E,33,11:25,22.0,85,8,SE,15,1020.2,25.1,67,,ENE,20,1016.7
,2017-07-6,16.1,26.5,0,,,NE,26,12:38,23.3,81,,SE,7,1019.1,25.2,67,,ENE,17,1015.7
,2017-07-7,17.5,27.4,0,,,NNW,26,11:06,23.1,85,8,WNW,7,1017.9,25.9,56,,N,15,1014.6
,2017-07-8,15.9,27.1,0,,,NE,26,12:21,22.2,85,, ,Calm,1018.1,25.6,67,,NE,17,1015.3
,2017-07-9,16.2,27.3,0,,,ENE,30,11:52,21.9,86,3,SSE,7,1019.9,26.5,61,,ENE,19,1017.3
,2017-07-10,17.4,28.0,0,,,E,37,12:48,22.2,82,8,SE,4,1021.1,26.9,59,,ENE,20,1019.0
,2017-07-11,18.7,28.6,0,,,NE,35,15:37,24.2,70,,SE,13,1023.3,27.1,56,,NE,28,1019.8
,2017-07-12,18.0,26.6,0,,,ENE,41,12:56,23.3,65,,SSE,13,1023.5,24.8,63,,ENE,31,1019.8
,2017-07-13,15.9,26.5,0,,,SE,41,10:23,22.3,60,,SSE,20,1021.6,24.7,55,8,E,28,1018.4
,2017-07-14,16.8,24.9,0,,,E,33,09:47,21.6,69,8,SSE,11,1020.0,23.8,61,8,ESE,13,1016.8
,2017-07-15,16.5,27.0,0.2,,,ENE,37,11:52,22.4,69,1,SSE,17,1019.9,25.4,55,5,ENE,26,1016.1
,2017-07-16,14.6,27.4,0,,,NE,33,13:57,21.4,73,, ,Calm,1019.0,24.9,65,,NE,26,1015.6
,2017-07-17,14.9,26.5,0,,,ENE,35,15:45,21.1,76,,SSW,7,1020.4,25.6,51,,ENE,24,1016.5
,2017-07-18,14.0,,0,,,,,,20.9,75,,S,9,1020.0,25.6,51,,NE,20,1015.7
