"Daily Weather Observations for Adelaide (Kent Town), South Australia for June 2016"
"Prepared at 13:05 GMT on Thursday 13 July 2017   IDCJDW5002.201606"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The "official" Adelaide site is now at West Terrace / ngayirdapira."
"The "official" Adelaide weather observations site is now at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-06-1,9.5,20.0,0.2,,,NNE,20,12:56,14.8,70,,NE,6,1025.7,19.3,49,,N,7,1023.0
,2016-06-2,9.6,19.0,0.2,,,NNE,20,13:36,14.3,67,,NE,4,1024.4,12.7,93,, ,Calm,1022.4
,2016-06-3,6.7,17.9,18.4,,,E,28,15:48,12.4,83,, ,Calm,1023.2,17.3,59,,WNW,7,1020.0
,2016-06-4,5.7,16.7,0,,,WSW,24,16:03,10.3,82,, ,Calm,1018.8,15.7,65,,WSW,13,1013.8
,2016-06-5,9.7,15.8,0.2,,,W,44,23:32,11.6,85,,N,11,1007.7,15.1,66,,WSW,20,1005.5
,2016-06-6,10.8,15.9,11.4,,,W,50,03:47,12.6,93,,W,13,1006.8,15.3,66,,SW,20,1007.2
,2016-06-7,12.0,17.0,1.6,,,SW,30,09:21,14.3,71,,WSW,13,1011.8,15.4,63,,WSW,13,1009.9
,2016-06-8,11.6,18.0,3.8,,,N,50,23:47,12.3,93,,NE,13,1002.4,17.8,65,,NNW,17,998.5
,2016-06-9,11.6,15.7,5.2,,,SSW,50,14:17,14.4,88,,SW,15,1005.6,14.7,65,,SW,19,1013.9
,2016-06-10,12.3,16.2,2.4,,,NW,39,15:32,13.7,74,,WNW,9,1021.7,15.5,70,,WNW,17,1021.7
,2016-06-11,7.6,16.1,1.8,,,SW,35,11:49,12.3,77,, ,Calm,1030.6,15.4,57,,S,9,1031.2
,2016-06-12,5.8,15.4,0,,,ESE,20,10:06,10.5,75,, ,Calm,1038.3,14.7,42,,NNE,9,1035.2
,2016-06-13,3.6,14.7,0,,,NNE,30,11:31,8.6,58,,NE,9,1034.2,13.7,40,,NNE,9,1030.6
,2016-06-14,5.3,20.8,0,,,NNE,19,01:10,12.7,71,, ,Calm,1033.4,20.1,47,,SW,9,1030.9
,2016-06-15,9.0,20.3,0,,,NNE,30,23:36,13.6,56,,NNE,4,1029.9,20.0,41,,N,13,1024.5
,2016-06-16,13.4,16.0,2.4,,,NE,33,00:56,15.3,77,,NNE,9,1015.4,15.1,82,,N,9,1010.1
,2016-06-17,13.6,17.1,4.0,,,S,20,15:36,14.6,96,, ,Calm,1013.3,16.4,71,,SSE,7,1012.9
,2016-06-18,11.0,15.4,0,,,E,28,11:49,12.9,58,,SSE,7,1019.7,14.8,53,,E,11,1018.4
,2016-06-19,7.0,15.1,0,,,S,20,12:52,11.4,78,, ,Calm,1019.1,14.3,56,,SSE,7,1015.1
,2016-06-20,6.2,15.0,0.6,,,WNW,26,14:42,10.5,92,,NNW,4,1013.1,12.7,86,,W,11,1009.8
,2016-06-21,9.7,14.2,3.8,,,WNW,39,16:46,11.1,87,,N,11,1003.2,13.5,94,,NW,9,1001.4
,2016-06-22,10.2,16.5,11.8,,,WNW,39,12:44,13.5,67,,W,9,1010.3,15.5,63,,WNW,17,1010.0
,2016-06-23,10.8,12.6,2.6,,,NNW,48,10:35,11.6,76,,N,17,1005.1,10.1,95,,WSW,17,1002.6
,2016-06-24,7.5,12.8,20.0,,,WSW,63,01:57,10.1,61,,SW,22,1015.0,12.6,58,,SW,19,1018.2
,2016-06-25,4.2,13.6,0.6,,,N,22,11:48,8.8,84,,ENE,2,1025.5,12.5,60,,N,9,1022.4
,2016-06-26,8.8,14.3,0,,,W,30,14:53,10.5,64,,N,9,1019.1,12.6,63,,NW,17,1016.0
,2016-06-27,8.5,15.4,2.6,,,SW,24,12:26,10.4,94,,NE,2,1021.2,14.9,54,,SW,9,1021.4
,2016-06-28,8.9,16.2,0,,,WNW,28,14:10,10.5,76,,N,9,1027.5,15.6,56,,NW,11,1026.2
,2016-06-29,6.2,13.2,0,,,NNW,50,15:48,11.2,62,,N,11,1025.1,13.0,54,,N,22,1019.2
,2016-06-30,9.9,14.4,1.6,,,W,50,14:05,12.1,87,,NW,17,1012.9,13.2,53,,WSW,24,1014.9
