"Daily Weather Observations for Adelaide (Kent Town), South Australia for July 2017"
"Prepared at 07:00 GMT on Tuesday 18 July 2017   IDCJDW5002.201707"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The "official" Adelaide site is now at West Terrace / ngayirdapira."
"The "official" Adelaide weather observations site is now at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-07-1,6.6,16.7,0,,,N,30,10:07,11.2,57,,NNE,9,1027.7,15.9,48,,NNW,13,1023.8
,2017-07-2,8.8,17.9,0,,,N,35,12:45,11.3,53,,NE,9,1019.7,17.6,30,,NNE,13,1012.3
,2017-07-3,9.5,13.3,0.8,,,NNW,57,14:30,10.3,58,,N,15,1008.6,12.1,70,,NNW,22,1006.3
,2017-07-4,10.3,16.2,8.6,,,NW,35,01:25,12.9,96,,WNW,15,1012.4,14.5,87,,W,17,1011.4
,2017-07-5,9.0,15.9,9.6,,,WSW,26,09:54,11.0,91,, ,Calm,1016.3,15.1,62,,WNW,9,1016.6
,2017-07-6,6.1,16.6,0,,,N,39,19:27,11.1,76,,NNE,7,1015.3,16.0,47,,NW,15,1010.1
,2017-07-7,8.2,14.4,6.4,,,W,50,15:58,10.7,92,,WNW,9,1010.2,12.9,81,,W,19,1011.6
,2017-07-8,6.4,14.8,7.0,,,WNW,41,15:02,9.5,96,,NNE,6,1019.0,14.5,65,,WNW,20,1017.1
,2017-07-9,9.5,15.3,1.0,,,WNW,28,11:33,10.6,89,,NNE,6,1021.9,15.2,57,,NW,11,1021.5
,2017-07-10,6.3,16.9,0.4,,,N,20,11:47,10.9,76,,NE,2,1027.4,16.2,49,,WNW,11,1026.7
,2017-07-11,4.8,18.8,0,,,ENE,28,23:30,9.6,83,, ,Calm,1033.1,17.9,36,,NW,6,1030.6
,2017-07-12,8.7,18.2,0,,,NNE,39,11:13,12.7,48,,NNW,9,1030.2,17.3,30,,N,20,1024.2
,2017-07-13,12.4,18.4,0,,,WSW,37,23:53,12.5,59,,ENE,9,1020.2,17.1,40,,NNW,17,1015.8
,2017-07-14,7.8,14.0,3.2,,,WSW,35,01:24,10.6,89,,ENE,6,1018.2,13.7,64,,WSW,13,1018.2
,2017-07-15,3.9,15.0,3.4,,,NW,20,15:02,7.4,88,,NE,4,1023.9,14.3,47,,N,9,1020.9
,2017-07-16,7.4,13.1,0,,,NNE,37,12:32,11.1,54,,NNE,13,1016.7,12.1,66,,NNE,15,1011.7
,2017-07-17,10.1,15.4,10.4,,,NNW,44,11:43,12.2,77,,N,19,1010.2,14.6,72,,NW,17,1009.2
,2017-07-18,10.1,,13.4,,,,,,11.4,83,,WNW,15,1013.8,13.1,78,,W,20,1012.2
