"Daily Weather Observations for Perth, Western Australia for July 2017"
"Prepared at 08:21 GMT on Tuesday 18 July 2017   IDCJDW6111.201707"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-07-1,8.9,17.5,2.8,2.2,0.6,WSW,59,11:23,15.8,72,6,NW,13,1012.9,9.1,95,8,SSE,7,1013.3
,2017-07-2,6.0,14.6,21.8,1.6,4.2,S,22,11:38,8.2,99,6, ,Calm,1022.3,14.3,52,6,SSW,11,1021.0
,2017-07-3,7.3,16.7,0.2,2.0,4.6,NW,24,14:02,9.4,95,5,NNE,9,1022.5,15.4,64,5,NNW,11,1020.1
,2017-07-4,6.4,15.3,4.8,1.4,1.2,NNE,13,10:49,8.7,99,6,SE,7,1024.5,14.6,71,7,NNE,4,1022.0
,2017-07-5,8.7,15.5,3.6,1.8,2.8,SW,50,13:42,13.7,88,7,NW,13,1016.5,11.7,76,1,SSW,13,1018.7
,2017-07-6,5.4,15.3,13.6,4.2,5.5,N,22,23:38,8.6,89,5,N,9,1024.3,15.0,61,7,NNW,7,1022.1
,2017-07-7,8.6,16.8,11.4,1.0,6.9,W,39,04:45,12.3,97,6, ,Calm,1018.4,15.9,65,3,SW,17,1018.5
,2017-07-8,4.9,16.9,0.2,1.4,9.0,S,20,13:51,10.6,95,1,S,2,1027.1,16.3,49,2,S,9,1025.0
,2017-07-9,7.2,18.0,0,2.4,7.4,NNE,20,10:36,11.1,75,5,SE,9,1027.6,17.5,44,6,WSW,6,1023.5
,2017-07-10,6.9,17.7,0,2.4,4.0,NNE,30,11:47,12.1,58,7,NE,9,1020.3,17.1,42,7,N,13,1016.2
,2017-07-11,12.0,19.7,0,2.6,4.2,NNE,39,11:19,14.9,56,1,NNE,17,1010.9,19.1,78,6,WNW,17,1010.0
,2017-07-12,14.8,20.7,2.4,2.4,8.0,WNW,46,12:21,18.4,66,1,WNW,15,1017.3,19.8,60,5,WNW,22,1018.0
,2017-07-13,13.8,19.3,6.0,3.6,3.0,WSW,28,13:51,15.4,97,7,S,6,1024.4,18.2,64,7,SSW,11,1024.2
,2017-07-14,12.4,19.1,0.2,2.8,2.3,NE,19,10:01,14.6,84,6,NE,7,1025.4,17.9,66,7,NNW,4,1022.4
,2017-07-15,11.5,20.1,0,2.6,1.3,WNW,41,14:43,14.6,94,7,N,6,1018.4,16.5,89,8,WNW,17,1016.0
,2017-07-16,14.6,18.9,5.0,2.0,3.6,SSW,30,11:42,16.6,59,7,SW,11,1019.3,18.4,48,7,SW,13,1018.4
,2017-07-17,8.3,19.6,0,3.4,9.1,ESE,19,10:44,12.6,72,1,NE,6,1022.8,19.2,43,2,NNE,4,1020.0
,2017-07-18,11.2,,0,3.2,,,,,14.2,57,7,NE,15,1018.8,24.3,33,1,N,19,1014.0
