"Daily Weather Observations for Darwin, Northern Territory for July 2016"
"Prepared at 13:08 GMT on Wednesday 12 July 2017   IDCJDW8014.201607"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-07-1,23.0,33.2,0,5.6,10.6,ESE,48,13:10,25.3,52,6,ESE,24,1016.2,32.6,18,2,ESE,24,1011.9
,2016-07-2,20.7,32.6,0,6.6,10.9,ESE,52,10:43,24.3,54,1,E,24,1017.3,31.6,27,0,E,24,1012.8
,2016-07-3,20.0,32.0,0,7.0,10.6,E,41,12:25,23.7,33,1,ESE,19,1016.8,31.3,23,0,E,22,1013.0
,2016-07-4,20.9,32.0,0,6.2,10.8,ESE,35,09:52,25.8,59,0,ESE,20,1015.8,30.6,46,1,NW,20,1011.2
,2016-07-5,20.6,33.4,0,7.2,10.5,ESE,41,11:23,25.1,67,1,ESE,17,1015.5,32.1,29,1,S,6,1011.3
,2016-07-6,20.5,33.4,0,6.8,11.0,ENE,41,11:19,23.7,72,0,SE,15,1015.7,32.9,20,0,NNE,19,1011.5
,2016-07-7,21.1,31.8,0,8.8,10.4,E,41,10:24,24.6,48,1,E,24,1015.8,30.1,27,1,ESE,17,1011.8
,2016-07-8,21.1,32.5,0,6.8,10.5,E,43,11:01,24.3,42,5,ENE,22,1015.3,31.9,20,7,E,13,1011.6
,2016-07-9,17.6,32.4,0,6.6,10.9,NNE,33,17:03,23.4,49,2,E,17,1014.8,31.6,33,1,NNE,24,1010.7
,2016-07-10,20.9,32.3,0,5.6,10.8,NW,35,14:38,25.6,77,1,E,15,1014.6,30.9,50,1,NW,22,1010.6
,2016-07-11,21.2,30.6,0,2.6,9.5,N,35,15:45,25.4,81,1,ESE,9,1014.2,29.3,63,2,NNW,19,1010.6
,2016-07-12,22.4,30.5,0,4.0,4.6,SE,35,22:53,26.0,74,2,SSE,13,1013.9,28.8,71,6,N,9,1010.7
,2016-07-13,23.8,30.0,0,4.4,3.8,ESE,48,23:54,24.8,84,6,SE,20,1014.0,28.0,57,6,SE,31,1011.8
,2016-07-14,20.0,29.0,0,7.6,9.7,SE,56,09:42,21.6,56,4,SE,37,1016.6,27.6,38,1,ESE,30,1013.2
,2016-07-15,16.6,28.0,0,8.2,11.1,SE,52,07:35,17.5,57,0,SE,35,1017.2,26.9,32,1,SE,22,1012.0
,2016-07-16,16.4,27.5,0,8.0,11.0,SE,44,08:50,18.4,52,3,SE,31,1017.1,26.4,27,0,SSE,19,1012.8
,2016-07-17,16.5,27.8,0,8.0,11.2,SE,37,06:17,19.9,41,0,ESE,24,1016.4,26.7,27,0,SSW,20,1012.8
,2016-07-18,13.8,29.4,0,5.4,11.1,ESE,33,10:02,20.4,45,0,SSE,17,1014.3,28.7,24,0,NW,20,1010.7
,2016-07-19,16.6,30.6,0,5.0,11.0,NNE,33,14:48,23.2,55,1,ESE,11,1014.1,29.8,32,1,NNE,22,1010.6
,2016-07-20,18.5,30.3,0,9.0,10.9,E,31,08:41,23.6,56,3,E,19,1015.4,28.5,54,0,NNW,19,1011.4
,2016-07-21,18.9,30.7,0,7.6,10.8,NNW,30,14:40,23.6,78,0,E,9,1014.6,28.9,54,1,NNW,19,1011.1
,2016-07-22,19.2,32.0,0,8.2,10.9,W,26,12:30,23.7,69,1,E,4,1013.8,31.0,38,1,NW,19,1010.0
,2016-07-23,21.5,31.9,0,6.6,10.9,W,31,15:04,26.3,71,1,W,7,1013.4,30.9,50,2,NW,19,1009.4
,2016-07-24,21.5,31.6,0,6.6,10.3,N,30,15:09,26.9,72,0,S,7,1013.7,30.7,56,2,N,22,1009.8
,2016-07-25,21.8,33.8,0,4.6,10.4,E,33,12:18,26.2,73,2,SE,13,1013.8,30.3,53,2,NNW,22,1010.0
,2016-07-26,20.3,33.6,0,5.8,11.0,E,43,11:32,26.7,66,1,E,13,1014.0,33.2,19,1,E,20,1010.0
,2016-07-27,19.6,33.3,0,7.6,11.1,E,50,11:31,24.7,64,2,SSE,20,1015.4,32.4,21,1,SE,26,1011.0
,2016-07-28,19.1,32.2,0,8.8,11.0,SE,44,10:19,23.3,32,1,SE,26,1016.6,31.1,19,1,E,19,1011.5
,2016-07-29,20.5,33.3,0,8.6,11.0,SE,41,09:42,23.8,45,1,SSE,20,1014.5,32.2,27,1,SE,24,1010.5
,2016-07-30,18.8,33.6,0,8.2,11.0,E,44,11:13,22.8,34,1,SE,19,1014.3,31.1,37,1,WNW,24,1010.0
,2016-07-31,19.0,32.6,0,8.0,10.9,ENE,35,11:56,23.8,39,1,E,17,1013.5,30.9,30,1,NNW,22,1010.1
