"Daily Weather Observations for Darwin, Northern Territory for July 2017"
"Prepared at 07:00 GMT on Tuesday 18 July 2017   IDCJDW8014.201707"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-07-1,19.8,30.7,0,9.4,10.3,SE,35,10:19,21.8,42,5,SE,17,1015.5,30.1,35,7,E,15,1012.4
,2017-07-2,20.7,32.1,0,5.8,8.9,ESE,31,10:49,23.4,51,3,SE,13,1015.0,31.6,44,3,NNE,9,1011.7
,2017-07-3,22.5,33.6,0,4.0,9.6,ESE,28,11:59,26.3,70,5,SE,11,1014.6,32.1,37,3,NE,17,1010.3
,2017-07-4,24.0,33.6,0,5.2,9.2,NE,33,13:39,27.2,67,4,ENE,15,1014.8,31.6,50,5,N,24,1011.8
,2017-07-5,23.5,32.3,0,5.4,10.9,NE,31,12:36,27.0,71,1,ENE,17,1014.9,31.4,47,1,NE,20,1011.3
,2017-07-6,23.6,31.7,0,5.6,10.3,WNW,24,12:56,27.1,75,2,NE,11,1014.7,30.4,59,2,N,15,1011.4
,2017-07-7,21.4,30.6,0,5.6,8.6,N,28,14:04,25.3,79,7,E,6,1014.3,29.4,64,2,NNW,15,1010.5
,2017-07-8,21.3,30.8,0,1.8,10.7,NNW,30,15:46,26.5,81,3,NE,7,1014.5,30.2,57,4,NW,15,1011.1
,2017-07-9,20.7,31.7,0,2.6,10.7,ENE,33,14:19,26.2,76,2,E,7,1014.5,30.6,46,4,ENE,15,1010.9
,2017-07-10,21.8,32.6,0,5.8,9.0,E,35,13:10,25.2,77,7,E,11,1015.0,31.4,41,4,E,13,1011.6
,2017-07-11,22.8,33.3,0,4.8,9.5,E,50,13:35,25.4,66,5,ESE,17,1015.5,33.2,39,4,ENE,24,1011.8
,2017-07-12,23.4,33.1,0,8.8,10.9,E,48,11:27,25.9,62,1,E,24,1016.2,32.6,34,1,ESE,31,1012.2
,2017-07-13,21.8,33.1,0,6.2,11.0,E,44,11:29,25.5,60,1,SE,15,1016.5,32.9,30,3,NNE,19,1012.3
,2017-07-14,20.1,33.2,0,6.0,11.1,ESE,44,13:35,24.6,82,1,SSE,9,1015.8,32.7,21,1,SE,26,1011.1
,2017-07-15,18.5,32.8,0,7.4,10.7,E,41,12:44,23.8,81,2,ESE,11,1014.9,31.6,23,3,E,19,1010.9
,2017-07-16,20.1,32.4,0,6.6,11.1,E,35,10:30,25.5,59,2,E,15,1015.0,31.5,25,2,ESE,15,1010.7
,2017-07-17,20.5,32.5,0,3.8,11.0,E,35,11:44,25.7,56,1,E,17,1014.3,31.4,37,4,WNW,17,1011.0
,2017-07-18,21.0,,0,5.8,,,,,25.8,72,2,S,7,1015.4,33.6,24,2,ESE,13,1011.6
