"Daily Weather Observations for Casey, Antarctica for June 2016"
"Prepared at 13:09 GMT on Thursday 13 July 2017   IDCJDW9203.201606"
"Copyright 2003 Commonwealth Bureau of Meteorology"
""9 am" observations are those made at 0300 UTC. This is equivalent to 10 am Local Standard Time, but 11am according to the time used by most people at the station. "3 pm" observations are similarly those made at 0900 UTC (4 pm LST, 5 pm station time).The maximum wind gust is in the 24 hours to 1 am local standard time."
"Observations were drawn from Casey {station 300017}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-06-1,-5.0,-4.8,0.4,,0.0,NE,46,01:18,-4.8,87,8,N,13,987.0,-6.1,79,8,NE,11,985.5
,2016-06-2,-12.3,-9.5,1.6,,0.0,NE,30,09:21,-12.3,72,7,NE,20,974.0,-10.7,76,7,NE,15,973.2
,2016-06-3,-16.1,-9.1,0.2,,0.0,E,33,06:30,-11.1,72,8,NNE,11,977.7,-9.5,57,8,N,7,979.9
,2016-06-4,-18.4,-7.1,0,,0.0,NE,41,03:05,-14.0,75,7,E,17,982.9,-18.8,70,1,E,11,983.2
,2016-06-5,-19.4,-4.4,0,,0.0,ENE,109,08:58,-7.6,85,7,E,81,971.0,-6.6,71,7,SSW,31,967.4
,2016-06-6,-15.2,-15.1,0,,0.0,WNW,48,17:54,-15.2,80,7,NNW,31,969.7,-16.4,64,7,NW,20,979.5
,2016-06-7,-19.0,-6.1,0.2,,0.0,ENE,100,00:54,-18.9,79,7,NE,20,992.5,-19.9,68,7,ENE,6,992.5
,2016-06-8,-22.9,-3.6,2.8,,0.0,ENE,106,01:03,-8.4,90,8,SE,15,983.3,-8.4,91,8,SSE,20,980.8
,2016-06-9,-11.3,-6.7,1.6,,0.0,SSW,80,03:47,-10.3,66,5,SSE,33,983.0,-10.6,36,1,ESE,28,985.9
,2016-06-10,-20.9,-10.5,0,,0.0,E,65,09:37,-11.9,61,8,E,54,984.9,-15.8,69,8,SSE,20,982.6
,2016-06-11,-17.5,-12.0,0,,0.0,S,41,19:15,-15.3,60,8,S,19,968.5,-14.3,63,8,SSE,22,964.5
,2016-06-12,-22.3,-16.4,0,,0.0,NNE,39,23:54,-21.4,62,5,S,13,963.6,-16.8,75,8,NNE,15,963.6
,2016-06-13,-23.0,-20.1,0,,0.0,NNE,41,19:47,-23.0,73,8,S,24,972.5,-22.5,77,8,S,7,975.5
,2016-06-14,-28.1,-23.9,0.6,,0.0,SSE,50,02:39,-26.0,76,8,SE,6,979.3,-26.9,74,7,S,13,979.8
,2016-06-15,-30.5,-26.9,0,,0.0,SSE,57,16:39,-29.8,71,2,S,20,975.5,-26.9,75,7,SSE,33,974.2
,2016-06-16,-31.4,-23.5,0,,0.0,SSE,28,04:52,-30.9,68,1,SSE,17,965.9,-26.8,69,1,ENE,11,968.1
,2016-06-17,-31.1,-22.9,0,,0.0,SE,22,01:08,-24.5,58,0,NE,11,977.1,-24.1,50,1,SSE,9,979.5
,2016-06-18,-28.1,-11.0,0,,0.0,SSE,30,01:00,-26.6,57,1,S,19,982.8,-28.3,51,1,SSW,17,981.8
,2016-06-19,-28.9,-13.3,0,,0.0,E,67,00:03,-14.9,56,7,SSE,15,983.7,-14.8,53,7,ENE,43,981.1
,2016-06-20,-18.2,-5.9,0,,0.0,E,100,00:58,-16.1,57,7,SSE,19,977.2,-17.4,62,1,SE,13,975.8
,2016-06-21,-19.9,-7.6,0,,0.0,E,111,02:05,-12.3,67,8,SSE,24,972.2,-12.9,68,,S,39,971.4
,2016-06-22,-14.8,-8.1,0.6,,0.0,ESE,44,06:07,-9.3,74,7,ENE,15,979.8,-9.9,73,3,ENE,4,984.6
,2016-06-23,-20.8,-16.8,0,,0.0,SSE,102,21:14,-20.3,72,0,SSE,50,981.8,-20.0,63,1,SSE,61,972.9
,2016-06-24,-22.2,-16.7,0,,0.0,NE,52,03:35,-21.3,75,6,NNE,11,960.3,-20.1,65,4,N,11,967.8
,2016-06-25,-22.0,-7.0,0,,0.0,ESE,35,10:22,-19.8,71,1,SE,28,980.3,-16.0,71,7,S,28,982.7
,2016-06-26,-19.8,-10.2,0,,0.0,ENE,31,02:31,-12.4,64,1,ESE,19,993.3,-12.8,61,1,ENE,13,994.3
,2016-06-27,-19.1,-16.1,0,,0.0,SE,20,00:34,-17.4,81,1,NNE,11,986.7,-20.2,77,1,SE,7,982.8
,2016-06-28,-22.4,-17.2,0,,0.0,S,24,02:31,-19.7,71,7,SSE,19,977.5,-18.6,63,7,NE,7,976.4
,2016-06-29,-21.5,-16.7,0,,0.0,NNE,28,14:15,-17.7,64,7, ,Calm,981.2,-18.7,72,8,NNE,15,982.3
,2016-06-30,-25.3,-21.0,0,,0.0,NNE,44,22:23,-22.8,83,7,NW,11,975.4,-24.3,76,2,NNE,13,971.8
