"Daily Weather Observations for Casey, Antarctica for July 2016"
"Prepared at 13:09 GMT on Wednesday 12 July 2017   IDCJDW9203.201607"
"Copyright 2003 Commonwealth Bureau of Meteorology"
""9 am" observations are those made at 0300 UTC. This is equivalent to 10 am Local Standard Time, but 11am according to the time used by most people at the station. "3 pm" observations are similarly those made at 0900 UTC (4 pm LST, 5 pm station time).The maximum wind gust is in the 24 hours to 1 am local standard time."
"Observations were drawn from Casey {station 300017}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-07-1,-24.6,-21.9,0,,0.0,E,46,12:00,-21.9,72,8,NE,33,970.0,-23.3,66,8,ENE,24,972.3
,2016-07-2,-27.7,-23.0,0,,0.0,ENE,31,07:58,-25.2,69,7,NE,17,978.1,-26.1,68,7,NE,19,978.2
,2016-07-3,-29.2,-15.0,0.2,,0.0,E,37,04:33,-25.1,74,8,SW,7,971.6,-20.3,78,8,SSE,11,966.9
,2016-07-4,-25.1,-15.4,6.6,,0.0,ENE,35,14:12,-17.1,84,8,NW,2,975.7,-19.0,74,8,S,15,976.9
,2016-07-5,-24.2,-19.8,0.2,,0.0,NNE,28,19:42,-23.3,73,1,NNE,9,981.5,-22.0,80,1,NE,13,982.2
,2016-07-6,-26.4,-18.9,0,,0.0,NE,41,16:00,-21.2,79,7,NE,31,987.2,-20.6,80,8,NE,30,989.0
,2016-07-7,-26.4,-21.8,0.2,,0.0,N,37,08:27,-22.3,78,8,ENE,26,992.1,-26.1,76,7,ENE,9,994.6
,2016-07-8,-34.0,-19.0,0.2,,0.0,NNE,39,00:21,-28.4,69,7,S,11,992.9,-25.2,71,7,NE,9,984.3
,2016-07-9,-28.5,-22.5,0.6,,0.0,NE,48,04:31,-25.7,77,4,SSE,13,980.9,-25.7,75,7,E,6,979.7
,2016-07-10,-28.9,-24.8,0.2,,0.0,S,30,19:07,-24.8,72,7,WSW,13,988.1,-26.6,73,2,SE,15,995.9
,2016-07-11,-34.2,-22.4,0,,0.0,SSE,31,07:44,-31.8,63,6,S,15,1005.6,-28.7,63,7,SSE,19,1008.2
,2016-07-12,-32.0,-12.5,0,,0.0,SSE,44,03:11,-26.7,65,1,N,11,1006.1,-22.9,50,1,WSW,6,1006.1
,2016-07-13,-28.2,-12.8,0,,0.0,SSE,31,04:31,-16.6,45,7,SSE,15,995.8,-17.2,43,7,N,7,992.7
,2016-07-14,-21.9,-11.6,0,,0.0,SSE,30,15:52,-16.1,51,7,E,9,993.1,-14.2,51,7,SSE,20,991.9
,2016-07-15,-19.6,-12.5,0,,0.0,ESE,39,13:02,-17.9,69,4,S,9,987.4,-13.5,37,3,ESE,13,984.8
,2016-07-16,-20.9,-8.3,0,,0.0,E,65,15:34,-17.7,51,1,NNE,7,981.0,-12.1,63,2,E,30,979.3
,2016-07-17,-19.3,-5.5,0,,0.0,E,46,19:51,-12.8,75,7,N,9,969.8,-11.7,68,7,SE,28,966.3
,2016-07-18,-15.0,-3.4,0.4,,0.0,ENE,107,00:12,-5.8,73,8,S,19,961.9,-5.8,62,8,NE,11,960.4
,2016-07-19,-8.8,-4.4,,,0.0,E,107,03:02,-6.3,62,8,NE,9,967.4,-6.9,79,7,E,69,970.7
,2016-07-20,-10.6,-9.6,0,,0.0,NE,26,18:00,-10.0,81,6,NE,11,980.8,-11.9,81,3,N,9,984.3
,2016-07-21,-15.6,-8.3,0,,0.0,NNE,59,00:49,-15.1,78,7,S,11,990.0,-14.3,58,7,NNW,4,989.2
,2016-07-22,-15.9,-9.5,5.6,,0.0,ENE,80,11:42,-9.8,83,8,SSE,17,977.7,-10.7,86,8,SE,17,978.6
,2016-07-23,-13.7,-11.0,1.2,,0.0,E,59,00:56,-13.5,75,8,N,2,972.9,-13.4,65,8,NE,7,973.4
,2016-07-24,-14.5,-13.4,0,,0.0,E,56,01:01,-14.0,67,8,N,7,979.7,-13.7,76,7, ,Calm,982.4
,2016-07-25,-16.9,-13.5,0,,0.0,NE,43,12:42,-15.3,72,8,ENE,20,983.3,-14.5,72,8,ENE,39,983.5
,2016-07-26,-19.5,-8.9,,,1.8,E,94,16:04,-16.9,72,6,E,57,980.1,-15.8,75,1,E,65,979.3
,2016-07-27,-17.9,-8.2,,,0.0,ENE,139,20:20,-9.9,89,7,E,98,971.8,-10.2,88,6,E,109,974.4
,2016-07-28,-10.9,-9.5,,,1.4,ENE,120,01:36,-9.7,59,7,SSW,9,992.1,-15.4,76,2,NW,9,995.5
,2016-07-29,-22.3,-8.5,0,,2.7,SSE,33,09:26,-18.9,60,0,S,20,993.5,-20.5,59,1,S,19,987.6
,2016-07-30,-24.0,-5.6,,,0.0,ENE,231,17:46,-11.3,84,8,E,124,966.0,-10.6,89,,E,181,948.6
,2016-07-31,-13.5,-4.9,,,0.0,ENE,248,12:15,-6.3,91,,ENE,187,949.9,-5.9,92,,ENE,115,970.8
