"Daily Weather Observations for Casey, Antarctica for August 2016"
"Prepared at 13:09 GMT on Tuesday 11 July 2017   IDCJDW9203.201608"
"Copyright 2003 Commonwealth Bureau of Meteorology"
""9 am" observations are those made at 0300 UTC. This is equivalent to 10 am Local Standard Time, but 11am according to the time used by most people at the station. "3 pm" observations are similarly those made at 0900 UTC (4 pm LST, 5 pm station time).The maximum wind gust is in the 24 hours to 1 am local standard time."
"Observations were drawn from Casey {station 300017}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-08-1,-8.5,-5.8,,,0.0,E,181,00:02,-8.5,90,,ENE,117,985.9,-6.8,91,8,SSW,33,988.7
,2016-08-2,-8.5,-2.8,,,0.0,ENE,206,15:42,-7.4,81,7,E,113,966.8,-4.4,80,,E,165,944.3
,2016-08-3,-7.4,-1.6,,,0.2,E,137,00:49,-4.1,94,7,NE,61,982.6,-4.4,92,7,ENE,76,990.3
,2016-08-4,-5.6,-1.8,,,0.0,E,141,01:03,-2.8,75,8,E,74,976.2,-3.4,94,8,W,15,968.3
,2016-08-5,-8.9,-5.1,,,0.0,SSE,94,23:32,-5.7,66,8,ENE,48,1006.4,-5.5,71,7,E,59,1004.4
,2016-08-6,-10.3,0.2,,,0.0,E,156,10:25,-6.5,90,7,E,109,972.1,-5.2,86,4,ENE,80,971.0
,2016-08-7,-6.9,-2.3,,,0.6,ENE,85,01:29,-2.3,84,7,NE,39,980.9,-6.5,87,7,NE,28,993.5
,2016-08-8,-10.3,-6.0,0.4,,0.0,E,74,15:16,-7.2,63,7,SSE,13,1011.4,-9.3,73,4,E,57,1008.6
,2016-08-9,-13.0,-8.3,0,,5.5,E,43,08:12,-11.4,71,2,S,24,1000.2,-12.2,69,6,SSE,13,996.0
,2016-08-10,-16.9,-5.7,0,,0.0,E,106,20:54,-14.1,73,7,S,17,988.3,-8.5,91,8,SSE,17,986.7
,2016-08-11,-14.5,-7.6,,,0.0,ESE,57,02:15,-11.0,87,8,SSW,13,986.2,-11.7,88,7,NE,11,984.3
,2016-08-12,-15.4,-8.8,9.0,,0.0,E,109,15:40,-9.8,84,8,SSE,28,979.6,-11.9,88,,E,80,978.8
,2016-08-13,-17.7,-15.2,,,0.0,ENE,26,03:01,-17.2,83,7,SW,7,992.4,-18.2,83,7,SE,17,993.8
,2016-08-14,-24.5,-17.0,0.2,,3.8,ESE,30,23:24,-21.0,76,7,SSE,7,993.4,-19.7,67,7,NNE,13,992.2
,2016-08-15,-23.4,-18.4,0,,3.4,ESE,28,11:50,-21.0,69,7,SE,19,999.0,-21.1,62,7,SE,20,1000.2
,2016-08-16,-25.0,-16.5,0,,6.7,NE,24,17:49,-19.8,47,1,ENE,9,1000.0,-20.0,59,1,NE,13,998.7
,2016-08-17,-23.4,-19.2,0,,6.3,ENE,28,00:27,-20.6,66,3,NE,9,997.5,-21.8,73,1,ENE,11,996.4
,2016-08-18,-23.9,-9.0,0,,0.0,ENE,91,00:55,-21.0,75,7,SE,15,993.0,-19.9,67,7,ENE,30,992.2
,2016-08-19,-22.1,-4.0,,,0.0,ENE,126,05:50,-10.9,88,8,SSW,17,989.1,-11.8,87,8,SSE,9,991.3
,2016-08-20,-12.7,-4.3,,,0.0,ENE,219,14:49,-4.5,90,,ENE,117,975.2,-6.5,93,,ENE,143,965.5
,2016-08-21,-7.3,-3.9,,,0.0,ENE,117,01:22,-6.0,91,7,ENE,67,981.6,-6.6,89,8,SSE,17,985.5
,2016-08-22,-8.5,-2.8,,,0.0,ENE,169,23:57,-7.4,83,8,NE,43,992.5,-7.5,88,8,ENE,83,987.4
,2016-08-23,-7.9,-1.2,,,0.0,ENE,157,01:15,-2.8,68,7,E,63,968.5,-3.2,70,7,ENE,24,969.7
,2016-08-24,-4.5,-3.3,,,0.0,NE,70,10:29,-3.7,70,7,ENE,59,968.4,-3.6,62,7,ENE,50,969.7
,2016-08-25,-10.3,-8.8,0.6,,3.5,E,52,03:51,-10.2,65,6,E,28,975.7,-14.5,73,7,SSE,24,979.2
,2016-08-26,-19.0,-11.9,0,,5.4,E,102,17:39,-18.0,73,3,SSE,22,981.4,-16.8,65,5,S,39,979.6
,2016-08-27,-24.0,-17.9,,,6.3,S,67,22:10,-22.3,57,1,S,28,969.7,-18.2,83,7,N,19,967.2
,2016-08-28,-28.0,-21.8,0,,6.4,S,78,03:04,-22.2,55,7,NNE,28,975.7,-24.8,65,6,SE,19,974.2
,2016-08-29,-28.2,-19.9,0,,8.7,ENE,33,07:03,-22.0,44,5,ENE,17,974.9,-23.6,57,6,SE,13,973.8
,2016-08-30,-26.5,-19.5,0,,4.7,WSW,35,09:56,-22.1,66,5,WSW,26,977.4,-23.9,64,4,SSE,11,983.0
,2016-08-31,-26.0,-9.4,0,,0.0,E,128,00:59,-20.5,70,7,S,19,993.0,-19.1,73,8,S,13,987.7
