"Daily Weather Observations for Casey, Antarctica for September 2016"
"Prepared at 13:10 GMT on Monday 10 July 2017   IDCJDW9203.201609"
"Copyright 2003 Commonwealth Bureau of Meteorology"
""9 am" observations are those made at 0300 UTC. This is equivalent to 10 am Local Standard Time, but 11am according to the time used by most people at the station. "3 pm" observations are similarly those made at 0900 UTC (4 pm LST, 5 pm station time).The maximum wind gust is in the 24 hours to 1 am local standard time."
"Observations were drawn from Casey {station 300017}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-09-1,-20.6,-6.0,,,0.0,E,157,12:34,-10.9,60,7,E,120,957.2,-9.6,65,8,E,104,951.0
,2016-09-2,-14.2,-6.6,,,0.0,E,72,20:40,-6.7,81,8,NNE,17,949.2,-8.7,86,7,SSE,22,952.0
,2016-09-3,-12.1,-4.3,,,0.0,ENE,94,10:49,-7.7,80,8,E,70,956.2,-6.8,58,7,E,63,960.1
,2016-09-4,-18.8,-10.7,,,7.2,W,39,00:59,-12.5,72,3,NNE,20,964.1,-18.1,71,1,SSE,24,962.5
,2016-09-5,-19.5,-12.6,0,,1.0,NE,44,10:54,-17.2,72,7,NNE,26,970.2,-14.7,66,7,NE,35,972.6
,2016-09-6,-17.2,-8.3,0,,5.1,SE,35,16:23,-12.7,67,7,ESE,20,976.6,-14.9,60,5,SE,30,973.1
,2016-09-7,-18.8,-8.5,0,,5.0,NE,54,23:47,-10.3,63,7,SSE,31,945.4,-10.5,72,5,SW,19,939.7
,2016-09-8,-19.6,-15.5,0,,0.8,NNE,54,05:08,-16.5,71,7,NNW,28,952.5,-16.4,73,8,ENE,13,956.1
,2016-09-9,-20.3,-17.2,0,,0.0,W,46,07:33,-20.2,77,8,NW,15,963.8,-17.4,74,8,SW,17,961.0
,2016-09-10,-25.2,-15.9,0,,10.3,SSW,87,22:15,-23.0,66,1,SSW,17,952.2,-21.3,64,1,SW,41,954.0
,2016-09-11,-26.5,-11.0,0,,0.7,E,128,19:33,-16.6,43,8,N,9,975.3,-15.3,60,8,W,19,963.9
,2016-09-12,-21.1,-15.1,,,1.5,SSE,50,01:25,-15.1,84,7,NW,17,963.4,-17.2,82,7,ENE,24,965.8
,2016-09-13,-26.3,-16.1,0,,0.0,ENE,54,15:18,-20.3,80,8,S,17,974.1,-18.6,76,8,ENE,41,972.0
,2016-09-14,-21.5,-14.8,0.8,,1.1,SSE,44,20:41,-16.3,81,7,NNE,19,958.8,-15.3,82,7,NNE,15,957.6
,2016-09-15,-25.2,-20.5,0,,0.0,E,61,00:34,-21.0,64,8,NNE,13,963.4,-21.2,67,7,N,19,965.9
,2016-09-16,-26.2,-16.6,,,7.0,ENE,83,12:22,-22.0,67,1,E,54,967.1,-21.7,66,4,SSE,13,966.1
,2016-09-17,-23.5,-10.2,,,0.8,E,48,23:42,-17.3,80,8,SSE,22,964.9,-14.0,82,8,SSE,13,965.4
,2016-09-18,-17.6,-8.5,,,0.0,ENE,89,10:08,-11.4,67,7,ESE,44,974.1,-11.3,65,7,SSE,9,978.1
,2016-09-19,-18.8,-11.8,0,,0.0,E,59,08:37,-12.0,50,8,E,46,980.7,-13.6,54,6,ENE,35,980.2
,2016-09-20,-24.0,-14.8,0,,3.9,WNW,30,21:53,-16.8,70,6,NNE,17,969.6,-16.6,75,7,ENE,9,967.7
,2016-09-21,-19.2,-14.3,0,,8.1,NE,24,03:29,-16.1,65,6,NNE,9,972.8,-17.1,68,1, ,Calm,973.9
,2016-09-22,-21.3,-15.8,0,,8.8,NE,56,20:27,-18.9,71,1,NNE,15,979.8,-16.2,56,1,N,17,986.7
,2016-09-23,-21.1,-14.2,0,,2.0,ENE,48,01:10,-20.5,65,7,SSE,17,997.0,-17.5,62,8,SSE,11,994.7
,2016-09-24,-20.7,-6.1,0.2,,0.0,E,67,19:10,-14.6,75,8,S,20,988.6,-11.1,87,8,SSW,24,985.6
,2016-09-25,-14.7,-9.4,10.4,,0.0,SSE,46,01:07,-9.9,82,8,WNW,6,981.1,-10.9,83,7,NE,20,980.3
,2016-09-26,-19.9,-12.2,0,,5.2,NNE,30,04:50,-14.7,71,7,NNE,20,982.1,-13.4,67,7,ESE,2,986.0
,2016-09-27,-16.8,-12.3,0,,7.4,S,44,00:54,-15.1,74,1,NNE,19,995.3,-16.6,74,1,SSE,19,994.4
,2016-09-28,-22.6,-5.6,0,,11.5,S,48,01:38,-14.3,61,0,S,11,983.7,-12.3,58,1,N,11,981.8
,2016-09-29,-14.3,-4.4,0,,6.7,ENE,113,20:03,-8.3,79,5,NW,11,981.3,-7.0,79,7,ENE,74,979.4
,2016-09-30,-8.9,-2.1,,,7.4,E,91,01:13,-4.5,51,6,SE,7,990.8,-6.0,68,3,NE,13,993.3
