"Daily Weather Observations for Casey, Antarctica for October 2016"
"Prepared at 13:10 GMT on Sunday  9 July 2017   IDCJDW9203.201610"
"Copyright 2003 Commonwealth Bureau of Meteorology"
""9 am" observations are those made at 0300 UTC. This is equivalent to 10 am Local Standard Time, but 11am according to the time used by most people at the station. "3 pm" observations are similarly those made at 0900 UTC (4 pm LST, 5 pm station time).The maximum wind gust is in the 24 hours to 1 am local standard time."
"Observations were drawn from Casey {station 300017}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-10-1,-12.8,-2.3,0,,0.2,E,120,00:46,-7.3,68,8,SSE,28,991.4,-3.9,61,7,ENE,24,988.5
,2016-10-2,-7.3,-1.7,,,0.0,ENE,128,01:11,-5.1,88,8,E,80,977.0,-4.7,90,8,SSW,19,976.7
,2016-10-3,-5.5,0.1,,,0.0,ENE,128,20:33,-3.0,80,8,SSE,17,979.1,-5.0,78,7,E,87,978.4
,2016-10-4,-6.2,-1.1,,,0.0,ENE,150,17:03,-3.8,83,8,SSE,17,981.5,-6.2,92,,E,111,976.2
,2016-10-5,-6.5,-1.6,,,0.0,E,161,20:32,-3.9,54,8,SSE,24,977.8,-3.1,55,8,SSE,20,974.6
,2016-10-6,-7.9,-2.9,,,3.0,E,120,02:09,-5.3,48,8,ESE,57,977.6,-4.2,44,7,NE,19,979.5
,2016-10-7,-10.5,-6.3,0,,1.7,E,31,03:54,-7.2,48,8,S,6,983.6,-7.7,59,7,SE,11,984.3
,2016-10-8,-13.0,-8.0,0,,6.9,E,24,08:10,-9.6,56,7,ESE,15,988.6,-8.6,60,8,SE,11,989.1
,2016-10-9,-12.2,-10.3,0,,0.0,E,50,00:28,-10.8,59,8,NNE,17,990.2,-10.6,62,8,NNE,13,988.6
,2016-10-10,-15.0,-8.0,0,,0.0,E,65,23:16,-11.9,77,8,NE,4,984.2,-9.7,83,8,S,6,985.4
,2016-10-11,-13.4,-8.6,2.6,,1.1,E,67,04:27,-9.6,67,7,SSE,17,986.1,-9.9,76,7,NNE,11,984.4
,2016-10-12,-15.1,-10.7,0,,0.7,E,44,20:28,-11.1,77,7,NNE,9,981.5,-11.2,73,7,NNE,9,981.0
,2016-10-13,-21.6,-11.3,0,,12.3,NE,46,08:31,-14.3,42,2,NNE,30,984.0,-13.2,48,1,ENE,7,987.9
,2016-10-14,-18.9,-10.0,0,,6.1,ESE,26,04:20,-11.5,63,7,N,11,988.0,-11.8,71,7,N,19,984.6
,2016-10-15,-13.1,-10.0,0,,5.9,NE,44,08:28,-11.4,57,7,NNE,31,978.7,-11.0,69,7,NNE,17,978.5
,2016-10-16,-14.6,-10.6,0,,0.0,NE,26,21:42,-13.0,67,7,SSW,7,980.1,-11.6,53,7,NNE,9,981.4
,2016-10-17,-13.8,-10.0,0,,3.0,ENE,33,23:59,-11.6,46,7,SE,4,984.3,-12.6,72,6,NE,13,983.9
,2016-10-18,-17.9,-11.0,0,,9.3,E,33,02:34,-13.3,66,1, ,Calm,979.6,-12.6,66,1,NE,9,978.4
,2016-10-19,-14.6,-12.4,0,,5.1,N,33,22:37,-13.4,73,7,NNE,20,975.8,-14.4,68,3,NNE,19,975.7
,2016-10-20,-16.8,-12.9,0,,0.0,E,46,23:45,-13.5,56,8,E,20,977.6,-13.2,48,8,ESE,6,980.8
,2016-10-21,-19.2,-7.8,0,,0.7,E,157,23:43,-14.4,59,8,SSE,26,980.0,-9.7,62,8,ESE,22,974.0
,2016-10-22,-14.4,-5.9,,,0.0,E,222,04:27,-8.0,75,8,E,131,947.2,-7.1,88,8,E,78,950.7
,2016-10-23,-11.1,-4.0,,,0.0,E,76,00:39,-10.1,82,8,N,30,973.7,-9.4,79,8,NE,43,980.5
,2016-10-24,-11.0,-2.2,,,1.3,E,85,02:22,-4.7,71,7,E,43,981.9,-4.8,57,7,ENE,28,979.3
,2016-10-25,-13.2,-7.9,0,,0.0,NNE,20,02:45,-9.1,67,7,SSE,9,969.7,-9.6,66,7,SSE,13,969.0
,2016-10-26,-13.5,-5.5,0,,0.0,SE,26,05:15,-8.4,63,8,SSE,7,973.1,-6.9,62,8,N,6,975.8
,2016-10-27,-10.2,-1.6,0,,0.0,ENE,69,14:08,-5.7,62,8,ENE,39,981.9,-6.3,65,8,ENE,52,983.5
,2016-10-28,-8.7,-0.1,0.2,,0.4,ESE,80,15:51,-5.9,66,7,S,22,981.3,-2.8,42,7,SE,37,980.3
,2016-10-29,-12.9,-2.9,0,,12.0,NE,44,22:31,-5.1,53,1,NNE,9,979.8,-4.5,70,7,NNE,19,978.8
,2016-10-30,-7.4,-2.7,0,,0.8,SSE,26,09:59,-5.1,60,7,SSE,20,977.6,-4.2,84,8,SSE,11,976.5
,2016-10-31,-8.4,-4.5,1.4,,2.4,ENE,50,23:39,-5.2,82,7,NNE,17,977.9,-7.2,76,6,NNE,24,975.5
