"Daily Weather Observations for Casey, Antarctica for November 2016"
"Prepared at 13:09 GMT on Saturday  8 July 2017   IDCJDW9203.201611"
"Copyright 2003 Commonwealth Bureau of Meteorology"
""9 am" observations are those made at 0300 UTC. This is equivalent to 10 am Local Standard Time, but 11am according to the time used by most people at the station. "3 pm" observations are similarly those made at 0900 UTC (4 pm LST, 5 pm station time).The maximum wind gust is in the 24 hours to 1 am local standard time."
"Observations were drawn from Casey {station 300017}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-11-1,-11.4,-6.2,0,,10.8,ENE,52,01:38,-7.2,50,6,N,13,975.8,-7.4,49,6, ,Calm,977.6
,2016-11-2,-13.4,-2.0,0,,8.2,E,93,21:24,-7.1,60,5,SE,22,982.2,-4.8,49,5,WSW,13,980.9
,2016-11-3,-8.3,0.1,0,,6.1,E,85,01:13,-2.4,62,7,E,37,981.9,-0.4,51,3,ESE,30,983.2
,2016-11-4,-7.0,1.5,0,,0.7,E,76,18:05,-2.4,61,7,SSE,24,981.9,-0.6,63,7,E,41,977.8
,2016-11-5,-4.4,0.4,0.4,,1.3,,,,-2.1,75,7,SSE,17,976.5,-0.1,72,7,SSW,7,978.8
,2016-11-6,-4.7,1.0,0.4,,7.2,ENE,83,08:44,0.0,62,7,ENE,48,990.1,0.7,61,7,ENE,41,990.4
,2016-11-7,-7.6,-1.5,0,,13.8,N,33,18:39,-2.8,63,1, ,Calm,985.1,-2.5,75,2,NW,17,979.6
,2016-11-8,-7.1,-1.7,0.4,,5.2,ESE,26,02:00,-3.7,82,8,SSE,9,989.8,-3.2,75,2,S,20,993.0
,2016-11-9,-6.4,-0.7,0.4,,13.8,SSE,19,02:53,-1.7,68,1, ,Calm,1000.0,-1.7,74,1, ,Calm,1000.2
,2016-11-10,-8.4,0.7,0,,13.2,E,50,22:28,-5.0,81,4,NNE,9,997.4,-0.6,69,8,SSW,9,996.2
,2016-11-11,-6.0,-0.1,1.6,,0.0,ENE,104,00:55,-4.9,86,7,E,19,987.6,-1.4,70,8,NE,59,986.2
,2016-11-12,-4.9,0.4,0,,,ENE,122,06:13,-0.4,76,8,ENE,87,983.9,-0.6,71,7,ENE,91,984.9
,2016-11-13,-2.5,3.9,0,,0.0,ENE,141,07:48,-1.7,92,8,E,109,983.2,1.3,73,7,E,83,987.4
,2016-11-14,-4.5,-0.4,0,,0.3,E,111,07:40,-2.6,53,7,E,72,989.9,-2.6,76,7,SSE,9,995.4
,2016-11-15,-6.0,-2.1,0,,1.5,ENE,26,05:26,-3.3,71,7,SSW,17,1000.4,-2.6,63,7,WNW,9,999.5
,2016-11-16,-5.8,-2.2,0,,6.0,NE,24,01:01,-3.2,79,7,NW,9,997.6,-2.6,64,6,WSW,13,997.0
,2016-11-17,-6.6,-3.1,0,,1.8,NE,20,03:06,-4.2,72,7,SW,6,992.4,-3.6,75,6,S,7,989.5
,2016-11-18,-5.9,-3.7,0,,0.0,ESE,44,19:28,-5.1,74,7,SSE,9,987.9,-4.6,86,8,NE,9,989.0
,2016-11-19,-7.2,-2.3,2.0,,1.0,ESE,30,03:32,-5.4,84,8,S,15,990.3,-2.8,69,7,SSE,6,990.7
,2016-11-20,-7.4,-5.9,0.4,,0.0,NNE,48,20:58,-6.6,86,8,NNE,24,990.7,-6.6,88,7,NNE,31,990.8
,2016-11-21,-11.5,-3.0,0,,8.0,E,41,23:08,-6.7,68,5,ENE,7,993.3,-6.6,63,7, ,Calm,992.6
,2016-11-22,-10.5,-0.1,0,,0.0,E,150,23:46,-3.3,60,6,E,43,985.2,-5.5,80,6,E,81,976.3
,2016-11-23,-6.4,0.4,0,,0.2,E,137,02:00,-3.8,74,7,SE,52,968.5,-1.3,66,7,E,61,974.5
,2016-11-24,-4.3,-0.1,0,,11.3,E,91,01:27,-0.9,71,1,NNW,13,992.2,-0.3,72,3,N,9,989.6
,2016-11-25,-7.2,-0.9,0,,12.2,E,61,03:38,-1.4,41,1,SSE,6,987.2,-2.7,60,3,N,19,988.5
,2016-11-26,-9.9,-2.2,0,,14.0,E,31,01:01,-3.4,44,4,N,13,990.0,-3.0,58,3,NNW,2,990.3
,2016-11-27,-9.3,-0.9,0,,7.7,ENE,76,23:51,-3.9,58,5,SSE,15,992.2,-3.0,73,7, ,Calm,992.0
,2016-11-28,-4.4,2.4,,,0.0,ENE,139,10:19,-1.8,76,8,E,91,975.2,-0.6,72,7,ENE,98,973.2
,2016-11-29,-2.2,2.5,,,0.4,ENE,126,01:02,2.4,57,7,ESE,43,976.9,1.6,65,8,ESE,20,979.2
,2016-11-30,-1.1,3.0,0,,4.2,SSE,46,02:15,0.7,64,7,NNE,9,989.7,1.9,68,7,S,9,991.8
