"Daily Weather Observations for Casey, Antarctica for December 2016"
"Prepared at 16:10 GMT on Friday  7 July 2017   IDCJDW9203.201612"
"Copyright 2003 Commonwealth Bureau of Meteorology"
""9 am" observations are those made at 0300 UTC. This is equivalent to 10 am Local Standard Time, but 11am according to the time used by most people at the station. "3 pm" observations are similarly those made at 0900 UTC (4 pm LST, 5 pm station time).The maximum wind gust is in the 24 hours to 1 am local standard time."
"Observations were drawn from Casey {station 300017}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-12-1,-1.2,2.3,0,,5.2,ENE,33,00:36,0.0,82,7,S,22,998.7,0.6,81,3,N,11,998.7
,2016-12-2,-2.3,-0.3,2.2,,0.0,ESE,44,01:08,-1.4,86,8,WSW,11,996.3,-0.9,92,8,SW,11,996.3
,2016-12-3,-3.6,0.6,1.0,,7.9,NNE,41,13:26,-0.4,79,1,N,20,993.8,-0.5,79,1,N,30,995.3
,2016-12-4,-6.2,0.2,0,,16.5,SSE,26,05:31,-1.7,73,1,S,20,997.1,-0.6,78,1,SSW,19,995.4
,2016-12-5,-5.3,-1.2,0,,6.0,NNE,50,14:03,-2.8,83,6,N,28,989.4,-2.4,83,7,NNE,31,988.5
,2016-12-6,-6.0,-0.3,0,,1.4,E,35,03:06,-2.1,75,7,NNE,13,989.3,-1.3,75,7,N,11,989.4
,2016-12-7,-2.7,0.0,0,,1.1,ENE,39,00:38,-2.1,81,8,NNE,19,989.9,-1.2,75,7,S,15,990.5
,2016-12-8,-7.1,0.8,0,,12.3,E,52,00:03,-1.4,54,2,S,11,989.5,-0.9,61,3,WNW,13,989.1
,2016-12-9,-4.9,0.6,0,,8.9,E,59,06:32,-0.4,59,6,W,26,987.8,-0.2,65,6,SW,19,988.0
,2016-12-10,-5.8,1.3,0,,9.9,E,48,03:49,-0.7,55,7,S,15,990.5,0.4,61,5,SW,15,990.7
,2016-12-11,-2.6,1.5,0,,0.4,NE,33,23:47,-0.3,73,7,NNE,9,989.2,-0.5,61,7,WNW,9,986.7
,2016-12-12,-2.8,1.1,0,,9.9,SSE,31,07:58,-0.2,68,7,S,17,984.2,0.1,66,4,WSW,11,983.4
,2016-12-13,-4.6,1.8,0,,11.6,ENE,43,00:21,0.5,52,1,SSW,11,984.0,1.0,54,6,SSE,11,985.4
,2016-12-14,-1.3,2.3,0,,0.0,ENE,41,01:21,0.6,74,7,N,11,989.4,0.5,76,7,N,7,990.2
,2016-12-15,-1.4,5.3,0,,8.3,SE,31,07:56,0.7,69,7,SSW,15,991.9,3.5,63,5,S,13,990.0
,2016-12-16,-2.3,2.7,0,,9.7,NE,39,06:33,0.5,71,3,N,17,990.9,0.5,77,7,N,9,994.2
,2016-12-17,-0.8,4.1,0,,5.0,NE,61,21:57,1.7,74,8,N,11,995.9,2.3,74,6,S,15,996.9
,2016-12-18,-1.1,5.2,0,,7.5,ENE,39,16:16,2.1,68,5,SE,9,1000.7,3.6,53,7,N,15,1000.7
,2016-12-19,-2.2,5.7,0,,13.8,SE,31,05:28,2.7,52,2, ,Calm,1001.8,2.9,67,3,SW,11,999.9
,2016-12-20,-1.6,5.1,0,,14.5,E,59,00:28,4.1,36,4,N,7,993.0,3.8,35,3,S,7,990.1
,2016-12-21,-2.8,0.8,0,,5.1,ENE,102,22:55,-0.2,46,6,W,11,990.8,-0.2,54,7,E,65,988.9
,2016-12-22,-2.0,1.4,0,,0.0,E,126,17:53,0.1,54,8,E,87,986.6,0.7,54,8,ESE,56,988.0
,2016-12-23,-1.9,2.6,0.2,,0.0,ENE,65,09:27,1.2,59,8,SSE,13,991.2,2.0,60,8,SSW,7,990.2
,2016-12-24,-2.5,4.0,1.4,,5.0,E,83,23:31,0.3,60,6,N,17,987.2,2.7,51,7,SE,30,986.9
,2016-12-25,-0.1,5.9,0,,1.5,E,76,04:55,2.9,52,7,E,13,990.5,4.5,42,7,WNW,7,991.9
,2016-12-26,-1.7,1.7,0,,0.0,NE,22,19:15,0.5,82,7,N,17,998.2,0.2,79,7,S,13,998.9
,2016-12-27,-1.2,1.2,0.6,,0.0,NNE,35,21:14,-0.7,91,8,SSE,13,995.0,0.6,94,8,WSW,13,992.0
,2016-12-28,-1.8,2.0,18.4,,1.3,N,24,02:04,-1.0,89,8,SSE,20,987.4,0.2,81,7,NW,9,989.3
,2016-12-29,-2.2,1.5,0.8,,9.0,S,22,11:54,0.1,78,5,SSW,11,994.5,0.5,77,5,NE,15,994.4
,2016-12-30,-1.9,1.9,2.0,,2.0,NE,57,00:35,-0.6,96,8,N,17,993.3,0.9,81,6,NNE,22,993.2
,2016-12-31,-4.4,1.8,0,,0.0,ENE,135,14:59,-0.1,71,8,E,83,982.4,-0.9,83,,E,100,978.1
