"Daily Weather Observations for Casey, Antarctica for January 2017"
"Prepared at 13:10 GMT on Thursday  6 July 2017   IDCJDW9203.201701"
"Copyright 2003 Commonwealth Bureau of Meteorology"
""9 am" observations are those made at 0300 UTC. This is equivalent to 10 am Local Standard Time, but 11am according to the time used by most people at the station. "3 pm" observations are similarly those made at 0900 UTC (4 pm LST, 5 pm station time).The maximum wind gust is in the 24 hours to 1 am local standard time."
"Observations were drawn from Casey {station 300017}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-01-1,-1.2,4.0,0,,0.9,E,102,02:20,1.2,62,6,SE,22,975.8,2.9,67,7,ENE,70,974.4
,2017-01-2,0.6,2.8,0,,0.0,NE,81,01:16,1.4,80,7,WNW,11,989.1,1.5,87,7,SSE,20,991.0
,2017-01-3,-0.5,3.2,0.4,,4.0,E,30,00:50,1.2,84,6,SW,11,990.1,1.6,77,7,S,9,988.3
,2017-01-4,-1.7,2.5,0,,11.2,ENE,57,00:31,1.6,61,7,NNE,9,987.8,0.9,69,7,N,7,987.4
,2017-01-5,-0.6,2.6,0,,0.0,NE,61,04:21,1.8,72,8,NE,41,986.8,0.4,82,8,N,11,988.4
,2017-01-6,-1.4,1.8,1.0,,0.0,NE,61,18:20,0.4,84,8,SSE,6,993.5,1.2,71,8,NE,44,994.8
,2017-01-7,-2.0,2.2,3.0,,0.0,E,135,00:24,-1.7,90,7,SSW,20,997.6,0.1,69,7,E,61,992.1
,2017-01-8,-1.7,4.7,0,,0.0,E,157,05:49,1.8,63,7,ENE,94,981.0,2.3,68,7,SSE,22,987.9
,2017-01-9,0.0,6.5,0,,0.0,E,131,11:16,2.7,56,7,SE,56,988.5,2.1,66,7,SSE,24,989.6
,2017-01-10,0.3,2.9,0,,11.5,E,98,03:59,1.9,58,4,NW,9,994.4,1.8,64,5,NNE,13,996.0
,2017-01-11,-2.1,2.9,0,,15.5,S,41,05:48,2.0,34,1,NNW,11,1001.4,1.1,55,2,NNE,13,1003.2
,2017-01-12,-3.4,3.6,0,,13.7,NE,24,01:35,-0.2,58,2,SSE,19,1003.0,2.3,61,2,WSW,13,1002.8
,2017-01-13,-2.1,3.0,0,,14.8,N,26,12:15,1.5,48,1,N,9,997.9,1.7,40,1,N,9,997.6
,2017-01-14,-4.6,2.4,0,,13.8,ENE,50,07:27,0.3,52,1,NW,11,995.1,0.0,66,3,NNW,13,996.9
,2017-01-15,-3.2,2.7,0,,5.0,E,56,01:34,1.8,46,6,S,4,999.6,0.0,66,5,WSW,11,998.7
,2017-01-16,-3.4,2.1,0,,9.3,E,35,01:26,1.1,54,7,NNE,11,995.9,0.5,61,8,N,9,994.9
,2017-01-17,-3.1,0.9,0,,0.3,NE,22,04:40,-0.5,73,7,SW,9,996.4,0.0,61,7,S,7,997.7
,2017-01-18,-2.5,2.2,0,,6.3,E,24,05:48,0.9,61,8,WSW,11,999.6,1.5,59,8,SSW,6,998.3
,2017-01-19,-1.4,2.7,0,,1.4,E,85,17:08,-0.2,64,7,SSW,19,992.8,0.1,60,7,E,50,989.9
,2017-01-20,-1.5,5.0,0,,0.3,E,143,23:35,2.7,55,8,E,81,986.2,2.4,64,8,E,76,985.7
,2017-01-21,1.4,5.6,0,,0.0,E,133,07:10,3.3,59,7,E,91,983.8,3.5,57,7,E,98,984.5
,2017-01-22,-0.1,2.4,3.0,,0.2,S,43,04:14,0.5,90,8,SSE,13,996.9,1.3,86,8,SE,7,997.2
,2017-01-23,-1.3,2.4,0.6,,12.6,NE,37,08:27,2.4,60,2,NNE,22,988.8,0.2,62,1,N,11,987.2
,2017-01-24,-5.6,1.0,0,,14.5,E,30,21:42,-1.1,51,2,S,11,989.2,-0.4,48,1,S,13,989.7
,2017-01-25,-4.1,4.1,0,,7.7,SE,33,03:25,-0.1,73,7,S,11,990.3,1.7,72,4,N,13,989.7
,2017-01-26,-3.7,3.3,0,,11.6,S,22,17:16,1.7,42,2,N,7,989.4,1.7,52,6,S,15,988.5
,2017-01-27,-2.8,3.0,0,,13.8,NNE,30,14:26,2.6,48,1,NW,9,983.1,1.5,70,1,NNE,24,982.7
,2017-01-28,-3.4,4.0,0,,3.6,SSE,19,11:55,1.4,63,7,SSE,9,987.3,1.7,73,7,WNW,7,989.2
,2017-01-29,-0.7,3.2,0,,1.1,NNE,31,14:50,0.9,72,8,SSE,13,988.9,0.4,82,7,NNE,24,987.8
,2017-01-30,-1.7,1.6,0,,7.8,NNE,50,14:37,0.2,77,7,NNE,11,978.9,-1.5,82,7,NNE,31,977.1
,2017-01-31,-5.0,0.0,0,,5.4,NE,54,16:09,-2.1,75,7,N,15,975.6,-1.5,68,6,NE,44,976.9
