"Daily Weather Observations for Casey, Antarctica for February 2017"
"Prepared at 13:09 GMT on Wednesday  5 July 2017   IDCJDW9203.201702"
"Copyright 2003 Commonwealth Bureau of Meteorology"
""9 am" observations are those made at 0300 UTC. This is equivalent to 10 am Local Standard Time, but 11am according to the time used by most people at the station. "3 pm" observations are similarly those made at 0900 UTC (4 pm LST, 5 pm station time).The maximum wind gust is in the 24 hours to 1 am local standard time."
"Observations were drawn from Casey {station 300017}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-02-1,-2.4,1.8,0,,1.5,NE,30,01:52,-1.3,71,7,NNW,9,983.9,-1.0,69,,NW,9,985.6
,2017-02-2,-3.2,3.8,0,,10.7,S,28,03:16,0.8,68,3,S,11,990.3,1.6,71,3,NNW,9,990.0
,2017-02-3,-4.2,2.7,0,,12.6,NNE,37,14:00,2.1,53,2,N,7,988.5,0.2,73,6,N,13,989.4
,2017-02-4,-1.1,1.2,0,,0.1,SSE,20,12:10,0.6,58,7,S,6,994.2,0.3,62,7,SE,11,994.9
,2017-02-5,-2.0,1.1,0,,0.0,N,24,18:25,-0.4,77,7,S,9,995.7,-0.3,75,7,NNW,9,995.9
,2017-02-6,-2.7,-0.1,0,,3.5,NNE,41,15:16,-0.4,62,6,N,9,993.5,-2.7,74,7,N,31,992.8
,2017-02-7,-4.3,-0.8,0,,3.3,ENE,26,10:58,-3.6,73,7,S,2,992.8,-1.6,53,5,NE,11,992.6
,2017-02-8,-4.9,0.8,0,,3.5,SE,31,02:16,-1.3,52,6,E,20,993.1,-1.8,56,7,NNW,11,991.7
,2017-02-9,-4.4,3.2,0,,13.7,NE,26,05:28,-2.2,71,1,SSE,17,984.7,0.3,47,1,E,11,980.3
,2017-02-10,-5.7,4.3,0,,13.8,SSE,22,02:04,1.7,37,5,WSW,9,983.0,3.8,44,6,SW,13,986.0
,2017-02-11,-3.8,-0.5,0,,7.6,N,57,10:26,-1.6,82,7,NNE,37,986.9,-1.5,79,6,N,20,986.4
,2017-02-12,-5.6,2.1,0,,2.6,ENE,119,19:51,-1.4,77,8,N,24,988.7,-1.3,88,8,NE,46,979.3
,2017-02-13,-2.7,-0.5,0.2,,0.1,ENE,93,02:04,-0.7,89,8,WNW,9,971.7,-2.2,84,8,NW,22,976.0
,2017-02-14,-3.3,1.1,0,,0.0,NE,31,18:10,-2.6,71,7,W,4,984.6,-2.3,67,7,SE,7,985.7
,2017-02-15,-4.1,3.6,0.8,,8.7,ENE,69,04:28,-0.8,72,6,SW,19,986.1,1.5,67,6,SSE,15,983.8
,2017-02-16,-4.2,4.9,0,,2.3,SE,31,08:49,3.3,62,6,SE,13,981.7,2.8,65,7,N,6,984.9
,2017-02-17,-0.6,1.2,1.4,,0.0,NNE,26,15:45,0.4,93,8, ,Calm,996.4,-0.1,95,8,NNE,22,995.4
,2017-02-18,-3.1,2.7,0,,0.4,NE,117,12:20,-1.1,86,8,ENE,44,974.3,0.4,87,8,NE,67,975.0
,2017-02-19,-1.1,2.5,0.6,,1.0,NE,43,06:05,2.5,71,7,NNE,22,985.3,1.6,87,7,SE,17,985.4
,2017-02-20,-3.5,2.0,0.2,,1.4,NE,67,00:25,-1.2,72,6,N,20,990.9,0.1,86,8,NNE,30,994.3
,2017-02-21,-1.4,2.6,0,,0.0,ENE,117,05:46,2.0,72,8,ENE,67,993.6,2.0,62,7,ENE,28,996.7
,2017-02-22,-4.8,0.2,0,,13.1,SSE,59,05:08,-3.8,70,4,S,33,980.4,-1.6,66,1,S,30,974.7
,2017-02-23,-8.5,-1.4,0,,12.8,NE,35,09:37,-2.0,56,2,NE,19,965.8,-2.9,67,,SE,20,967.9
,2017-02-24,-7.3,-1.8,0,,9.5,NE,41,04:59,-3.9,60,2,NE,20,987.9,-2.5,66,,NNE,11,991.1
,2017-02-25,-4.0,-0.6,0,,1.9,S,33,14:40,-2.6,78,7,SSW,17,990.0,-2.4,64,,SSE,22,985.4
,2017-02-26,-5.0,-1.1,0,,11.7,N,35,16:18,-1.6,73,8,NNE,20,977.9,-2.4,73,,N,20,978.5
,2017-02-27,-7.0,-2.3,0,,8.4,NE,26,15:46,-3.3,45,6,NE,9,986.3,-3.9,57,,NE,19,988.0
,2017-02-28,-8.8,-2.1,0,,10.5,NE,30,06:23,-4.5,48,5,N,13,992.4,-3.5,57,,S,9,992.5
