"Daily Weather Observations for Casey, Antarctica for March 2017"
"Prepared at 13:10 GMT on Tuesday  4 July 2017   IDCJDW9203.201703"
"Copyright 2003 Commonwealth Bureau of Meteorology"
""9 am" observations are those made at 0300 UTC. This is equivalent to 10 am Local Standard Time, but 11am according to the time used by most people at the station. "3 pm" observations are similarly those made at 0900 UTC (4 pm LST, 5 pm station time).The maximum wind gust is in the 24 hours to 1 am local standard time."
"Observations were drawn from Casey {station 300017}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-03-1,-9.6,-2.5,0,,12.3,SSE,28,06:39,-7.4,74,1,SSE,20,994.2,-3.2,43,,W,9,995.4
,2017-03-2,-8.4,-0.4,0.2,,0.0,SSE,28,23:24,-7.0,85,7,SSE,9,1001.0,-5.6,72,7,SE,11,999.2
,2017-03-3,-7.1,0.2,0,,0.0,E,109,23:43,-3.6,73,7,SSE,26,991.8,-0.5,62,7,E,54,990.7
,2017-03-4,-3.6,1.2,0,,0.0,E,104,05:50,-1.4,65,7,E,76,991.9,-1.1,63,,E,56,994.3
,2017-03-5,-1.8,0.7,0,,0.0,E,109,23:33,0.0,62,7,E,69,996.6,-0.1,63,,E,67,996.2
,2017-03-6,-3.1,0.7,0,,0.0,E,126,05:14,-1.1,57,7,E,72,985.7,-3.1,70,,SSE,28,986.9
,2017-03-7,-5.6,-4.4,0.4,,0.0,NE,59,17:35,-5.1,84,8,N,13,988.2,-5.2,79,,NE,41,986.8
,2017-03-8,-7.2,-6.0,2.0,,0.4,ENE,41,04:41,-6.1,65,7,ENE,26,984.6,-6.7,75,,NE,30,985.4
,2017-03-9,-10.7,-4.9,0,,4.2,ENE,46,08:40,-6.1,64,8,ENE,41,984.2,-5.2,52,,E,19,982.6
,2017-03-10,-10.9,-1.4,0,,3.4,NE,65,23:52,-7.4,71,6,S,19,984.0,-5.0,63,,S,7,982.1
,2017-03-11,-7.9,1.7,4.0,,0.0,E,106,23:47,-1.5,79,8,NNW,11,979.6,-0.8,67,,SSE,13,978.1
,2017-03-12,-3.5,2.3,1.0,,0.7,E,91,01:02,1.3,51,,S,20,978.4,-1.0,63,,SE,17,979.4
,2017-03-13,-4.1,-0.3,0,,1.2,NNE,41,01:57,-1.5,59,8,ESE,4,986.5,-2.1,87,,NNE,11,989.8
,2017-03-14,-4.1,-2.8,0.2,,1.6,NE,26,00:48,-3.8,90,7,SSE,17,993.0,-3.4,81,,N,7,990.9
,2017-03-15,-10.1,-6.0,0,,0.0,NE,50,15:29,-7.3,85,7,NE,26,980.9,-8.0,77,7,NE,41,980.5
,2017-03-16,-11.7,-5.0,0.4,,0.7,SSE,30,11:37,-9.8,79,7,SSE,19,984.8,-7.4,86,8, ,Calm,986.1
,2017-03-17,-9.9,-5.1,1.4,,7.3,NE,24,13:08,-5.9,76,4,ENE,7,988.0,-8.3,73,1,ENE,17,987.4
,2017-03-18,-11.9,-2.8,0,,0.0,ENE,126,00:54,-6.0,78,7,NE,43,985.4,-4.7,75,8,ENE,65,979.1
,2017-03-19,-6.1,-3.4,0,,1.1,E,146,08:27,-3.9,93,8,ENE,102,959.6,-5.0,87,7,E,80,964.5
,2017-03-20,-7.5,-3.6,0,,0.1,E,102,02:55,-5.1,60,7,E,20,987.5,-4.3,69,6,W,20,993.8
,2017-03-21,-9.5,-1.7,0,,0.0,E,131,19:00,-9.2,76,7,S,24,990.1,-5.8,82,8,E,87,976.8
,2017-03-22,-9.2,-4.3,0.8,,0.4,E,148,05:24,-6.7,68,8,SSW,15,970.9,-4.4,60,7, ,Calm,971.8
,2017-03-23,-11.6,-3.9,0.6,,0.0,E,35,02:13,-5.4,67,7, ,Calm,977.2,-4.4,63,7,E,4,980.6
,2017-03-24,-8.6,-3.9,0,,0.0,E,33,06:44,-5.5,72,7,E,20,989.4,-5.2,60,7,SSE,7,988.7
,2017-03-25,-6.8,-5.8,0,,0.0,NNW,24,19:46,-5.8,77,7,WNW,15,985.8,-7.9,75,7,NW,15,985.7
,2017-03-26,-8.4,-5.8,0,,0.2,E,35,19:25,-6.2,87,7,NNE,22,987.4,-6.7,81,6,SE,11,988.9
,2017-03-27,-11.9,-6.0,0,,3.3,SSE,24,19:36,-6.9,59,8,NNE,9,988.7,-7.7,63,8,ENE,9,986.8
,2017-03-28,-14.8,-9.9,0,,1.4,NNE,54,13:25,-10.2,83,7,N,20,973.4,-11.0,75,7,N,28,970.7
,2017-03-29,-13.2,-4.5,0,,1.3,ENE,87,20:09,-11.7,69,7,NNE,13,974.3,-9.9,72,8,SE,19,973.9
,2017-03-30,-11.7,-7.2,0.4,,4.6,E,80,04:21,-7.8,86,8,S,19,985.1,-9.2,78,1,WNW,6,987.6
,2017-03-31,-13.5,-3.7,0.2,,0.5,SSW,35,22:58,-10.8,80,7,NNE,9,987.4,-9.2,83,8,NNE,6,983.8
