"Daily Weather Observations for Casey, Antarctica for April 2017"
"Prepared at 13:11 GMT on Monday 17 July 2017   IDCJDW9203.201704"
"Copyright 2003 Commonwealth Bureau of Meteorology"
""9 am" observations are those made at 0300 UTC. This is equivalent to 10 am Local Standard Time, but 11am according to the time used by most people at the station. "3 pm" observations are similarly those made at 0900 UTC (4 pm LST, 5 pm station time).The maximum wind gust is in the 24 hours to 1 am local standard time."
"Observations were drawn from Casey {station 300017}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-04-1,-11.3,-4.3,13.6,,0.0,SSW,52,05:05,-5.3,87,,NW,6,977.2,-6.6,87,8,NE,30,978.6
,2017-04-2,-12.6,-1.5,4.0,,0.0,ENE,113,14:37,-4.8,80,8,SW,15,972.0,-3.6,92,8,WNW,28,965.5
,2017-04-3,-6.9,-6.9,8.2,,0.0,N,46,06:06,-6.9,85,7,N,26,964.8,-7.7,77,7,N,30,970.0
,2017-04-4,-9.4,-6.6,1.2,,3.4,N,28,01:01,-7.0,80,7, ,Calm,984.0,-8.0,75,7,ENE,7,985.4
,2017-04-5,-15.3,-11.4,0,,0.0,SSE,31,13:15,-11.6,83,7,SSE,20,984.4,-12.5,84,7,SSE,9,982.7
,2017-04-6,-17.0,-7.3,0.2,,0.0,SSE,31,04:25,-15.6,83,8,SSE,15,980.5,-13.2,76,8,SE,11,980.4
,2017-04-7,-15.7,-5.6,0,,0.0,ENE,61,23:57,-8.5,69,7,SSE,11,981.3,-7.4,76,7,S,13,983.6
,2017-04-8,-8.5,-4.8,,,0.0,ENE,154,20:45,-6.8,90,8,ENE,111,972.4,-5.9,91,8,E,102,969.0
,2017-04-9,-8.9,-4.9,,,4.1,E,139,01:27,-7.1,61,7,ESE,28,979.7,-6.3,62,6, ,Calm,984.4
,2017-04-10,-14.6,-9.6,0,,8.8,SSE,37,17:15,-13.0,71,1,SSE,17,988.9,-14.6,74,1,SSE,30,987.3
,2017-04-11,-16.1,-4.2,0,,1.5,E,98,23:11,-14.9,69,7,SSE,11,981.5,-11.9,71,7,SSE,26,976.3
,2017-04-12,-15.2,-2.6,0,,0.2,E,104,01:35,-6.3,46,7,SSE,44,959.3,-5.4,64,7,SSE,30,949.0
,2017-04-13,-9.9,-4.3,0,,0.0,ENE,102,03:13,-4.6,87,8,NNE,33,964.7,-4.9,77,8,ENE,43,971.6
,2017-04-14,-9.0,-6.5,0,,0.0,E,50,01:09,-8.6,77,7,SSE,22,979.8,-8.4,82,6,S,9,977.9
,2017-04-15,-9.9,-6.2,0,,3.7,E,72,22:32,-8.6,62,5,NE,28,975.2,-7.6,65,7,SSE,11,973.9
,2017-04-16,-9.1,-2.1,0,,3.5,ESE,131,22:30,-7.5,66,7,SSW,24,970.6,-7.9,78,7,E,83,968.6
,2017-04-17,-10.7,-5.4,0,,9.1,E,87,01:31,-7.5,72,1,NE,24,974.1,-7.7,51,1,SE,15,976.8
,2017-04-18,-13.5,-1.3,0,,2.5,ENE,152,22:54,-5.9,52,1,ENE,28,981.8,-5.6,89,8,SW,2,985.0
,2017-04-19,-7.2,-0.6,0,,0.0,E,141,01:20,-5.8,57,7,E,109,979.7,-4.2,42,7,SSW,13,982.8
,2017-04-20,-11.1,-7.1,0,,5.0,E,33,08:25,-8.8,51,7,SE,9,979.4,-9.2,62,7,SSE,9,979.0
,2017-04-21,-11.0,-6.8,0,,0.0,NE,22,16:45,-7.4,69,7, ,Calm,982.5,-8.0,77,7,NE,13,983.3
,2017-04-22,-9.4,-7.1,0.2,,0.2,ENE,44,16:11,-7.8,73,7,ENE,22,984.9,-8.6,76,7,ENE,30,985.6
,2017-04-23,-14.4,-10.1,0.4,,3.7,N,31,19:48,-14.1,81,6,SSE,17,979.9,-10.5,85,7,NNW,15,979.1
,2017-04-24,-16.0,-13.9,0,,0.0,NE,39,18:59,-16.0,73,7,SSE,19,979.6,-15.6,71,7,S,2,981.6
,2017-04-25,-18.2,-8.3,0,,,E,93,00:41,-17.5,72,7,SSE,9,990.1,-17.7,42,8,NE,13,989.2
,2017-04-26,-19.8,-7.9,,,0.0,E,146,11:32,-13.3,84,7,E,107,966.0,-9.7,57,7,S,43,973.3
,2017-04-27,-14.2,-12.1,0,,3.5,SSE,30,21:03,-12.2,76,6,NNW,15,986.9,-14.0,80,7,N,13,988.1
,2017-04-28,-18.9,-5.9,0,,0.0,S,56,00:13,-13.5,75,7,NE,31,991.4,-17.5,73,7,S,33,988.7
,2017-04-29,-18.4,-3.2,0.2,,0.0,E,80,08:00,-10.2,71,7,SE,35,985.1,-13.4,80,6,S,28,986.5
,2017-04-30,-16.3,-10.2,0.4,,7.0,NNE,31,05:06,-15.5,69,1,SE,11,995.3,-17.2,73,1,S,11,998.3
