"Daily Weather Observations for Casey, Antarctica for May 2017"
"Prepared at 16:10 GMT on Sunday 16 July 2017   IDCJDW9203.201705"
"Copyright 2003 Commonwealth Bureau of Meteorology"
""9 am" observations are those made at 0300 UTC. This is equivalent to 10 am Local Standard Time, but 11am according to the time used by most people at the station. "3 pm" observations are similarly those made at 0900 UTC (4 pm LST, 5 pm station time).The maximum wind gust is in the 24 hours to 1 am local standard time."
"Observations were drawn from Casey {station 300017}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-05-1,-18.4,-5.2,,,0.0,ENE,131,00:46,-11.5,63,7,NNE,4,1000.5,-8.6,74,7,NW,19,995.5
,2017-05-2,-13.1,-5.9,0,,0.0,ENE,139,05:08,-9.1,83,7,E,115,972.3,-9.1,82,7,E,106,972.8
,2017-05-3,-9.8,-4.3,0,,4.7,E,56,19:48,-8.0,61,5,E,6,975.9,-10.0,60,7,E,24,974.9
,2017-05-4,-12.3,-4.9,2.4,,0.0,E,57,03:03,-5.8,81,8,ENE,39,974.8,-6.2,77,7,SSE,4,973.1
,2017-05-5,-7.8,-6.5,0,,0.3,NE,39,02:31,-7.2,86,7,NE,11,974.6,-7.2,73,7,NNE,7,974.1
,2017-05-6,-10.6,-4.3,0,,0.0,E,67,14:24,-6.6,58,8,NE,2,960.9,-4.9,60,8,NE,24,965.1
,2017-05-7,-11.1,-3.2,1.8,,0.0,E,109,20:29,-6.7,87,8,E,57,972.0,-7.2,91,7,ENE,80,971.1
,2017-05-8,-7.4,-5.6,0.2,,0.0,E,72,01:05,-5.9,77,7,NE,11,974.3,-6.0,81,7,WSW,19,974.6
,2017-05-9,-11.1,-8.2,0.8,,0.0,SSE,33,18:01,-10.7,88,8,S,19,975.4,-9.6,89,8,S,15,976.4
,2017-05-10,-16.7,-15.4,1.2,,0.0,NE,30,05:56,-15.4,86,8,SE,7,970.3,-18.3,84,6,NW,7,968.1
,2017-05-11,-22.4,-18.0,0.2,,0.0,NNE,33,00:23,-19.4,82,7,SSE,9,970.2,-24.1,79,1,SSE,17,972.8
,2017-05-12,-25.5,-18.9,0.2,,0.0,NE,39,03:19,-18.9,75,7,N,17,971.0,-20.0,69,7,NNW,19,970.6
,2017-05-13,-25.9,-20.5,0,,1.9,E,39,02:34,-23.9,68,6,E,11,965.9,-21.2,74,5,NNE,20,970.2
,2017-05-14,-24.4,-16.0,0,,4.5,SE,69,00:28,-24.2,70,3,ESE,7,989.4,-26.8,75,1,SSW,13,995.5
,2017-05-15,-28.0,-14.3,0,,2.7,S,93,10:53,-23.1,73,1,S,69,998.2,-19.7,60,1,SSE,54,991.7
,2017-05-16,-23.1,-18.0,0,,4.9,NE,30,20:56,-19.8,56,1,SSE,9,989.6,-20.5,71,1,NE,9,986.7
,2017-05-17,-23.5,-8.1,0,,,NE,56,12:53,-18.5,79,3,NNE,30,989.5,-18.7,72,7,NE,37,995.1
,2017-05-18,-22.6,-3.9,,,0.0,ENE,191,10:26,-8.4,91,,ENE,146,972.8,-8.1,91,,ENE,111,973.1
,2017-05-19,-9.3,-4.5,0,,0.4,NE,83,01:30,-6.1,75,7,NNE,37,996.8,-5.2,77,6,NE,31,1005.6
,2017-05-20,-14.8,-11.9,0,,3.7,SSW,54,19:41,-14.6,63,1,SSE,26,1007.0,-16.9,61,1,S,35,1005.5
,2017-05-21,-19.3,-8.4,0,,0.0,S,56,01:56,-12.8,65,7,S,15,1001.7,-11.7,66,7,SSE,11,1004.1
,2017-05-22,-13.7,-9.9,0,,0.4,ENE,30,02:34,-11.8,56,6,NE,11,1010.9,-11.9,67,2,SSE,17,1011.0
,2017-05-23,-18.1,-14.9,0,,0.1,S,28,03:38,-16.1,55,5,SE,4,1000.6,-17.4,59,7,SSE,13,996.0
,2017-05-24,-19.8,-8.9,0,,0.0,SSE,26,13:03,-16.2,58,7, ,Calm,989.3,-16.2,60,7,S,20,989.9
,2017-05-25,-19.5,-6.7,0,,0.0,SSE,24,10:50,-10.4,62,8,SSE,11,993.4,-8.3,90,8,S,13,994.9
,2017-05-26,-11.7,-8.1,3.4,,0.0,S,24,20:43,-8.5,91,8,SSE,6,1005.0,-9.5,89,8,NW,7,1006.1
,2017-05-27,-16.2,-2.0,1.6,,0.0,NE,46,13:13,-14.7,82,7,SSW,7,997.2,-6.1,62,7,SSE,24,990.2
,2017-05-28,-15.1,-12.0,0,,0.0,ESE,65,05:42,-14.5,55,6,S,20,976.4,-16.3,64,5,SSE,11,974.5
,2017-05-29,-24.2,-9.2,0,,0.0,SSE,44,05:05,-18.8,72,7,S,9,974.3,-15.7,50,4,S,9,976.2
,2017-05-30,-20.0,-7.9,0,,0.0,ESE,46,11:00,-9.6,62,7,SSE,24,978.9,-8.6,59,7,NE,15,980.1
,2017-05-31,-13.7,-13.0,0,,0.0,NE,37,23:24,-13.2,87,2,NE,13,980.5,-14.7,81,7,NNE,13,979.4
