"Daily Weather Observations for Casey, Antarctica for June 2017"
"Prepared at 13:09 GMT on Friday 14 July 2017   IDCJDW9203.201706"
"Copyright 2003 Commonwealth Bureau of Meteorology"
""9 am" observations are those made at 0300 UTC. This is equivalent to 10 am Local Standard Time, but 11am according to the time used by most people at the station. "3 pm" observations are similarly those made at 0900 UTC (4 pm LST, 5 pm station time).The maximum wind gust is in the 24 hours to 1 am local standard time."
"Observations were drawn from Casey {station 300017}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-06-1,-15.7,-7.0,0,,0.0,E,100,21:08,-14.0,52,1,E,19,983.7,-12.3,80,4,E,61,982.8
,2017-06-2,-16.4,-0.6,,,0.0,E,169,11:27,-8.3,90,7,E,122,961.2,-8.8,87,7,E,131,957.6
,2017-06-3,-9.3,-3.3,0,,0.0,E,98,05:21,-3.6,57,7,NE,20,968.9,-5.7,67,8,SSE,17,972.0
,2017-06-4,-13.5,-11.2,0.2,,0.0,S,33,08:13,-12.5,83,2,NNE,13,976.4,-12.2,75,6,ENE,13,978.9
,2017-06-5,-16.3,-12.6,0,,0.0,SSE,28,05:18,-14.8,81,8,S,15,984.8,-14.7,79,7,S,7,988.0
,2017-06-6,-19.7,-14.4,,,0.0,WNW,30,13:58,-15.1,72,7,NE,19,995.1,-14.7,78,7,W,11,995.8
,2017-06-7,-20.0,-16.8,0.2,,0.0,ENE,33,19:20,-19.8,77,7,SSE,17,992.0,-17.1,78,7,NE,19,991.4
,2017-06-8,-22.3,-20.6,,,0.0,ENE,26,07:00,-22.2,56,1,S,7,993.6,-23.1,47,1,E,4,993.1
,2017-06-9,-24.5,-18.9,0,,0.0,SSE,22,07:35,-22.0,66,7,S,15,992.1,-19.6,58,7,E,6,991.7
,2017-06-10,-23.9,-18.8,0,,0.0,S,24,01:36,-19.6,81,6, ,Calm,993.1,-23.8,71,1,SSE,19,991.8
,2017-06-11,-25.4,-20.2,0,,0.0,SSE,24,06:00,-22.0,54,1,ESE,17,989.8,-23.6,53,1,SSE,7,990.2
,2017-06-12,-25.3,-21.7,0,,0.0,NNE,28,19:39,-23.0,69,7,NE,13,998.3,-22.3,65,7,NNE,17,1000.4
,2017-06-13,-30.2,-19.2,0,,0.0,S,31,05:52,-26.5,68,7,S,24,992.7,-23.2,78,8,NNE,6,989.6
,2017-06-14,-26.5,-18.2,0.8,,0.0,S,33,07:16,-21.7,61,6,SSE,11,978.6,-19.2,65,7,SSE,7,974.1
,2017-06-15,-23.5,-7.1,,,0.0,SSE,44,22:25,-20.1,80,7,ESE,9,971.3,-19.3,50,1,SE,13,970.3
,2017-06-16,-22.2,-7.5,1.2,,0.0,E,117,05:16,-9.4,75,7,SSE,17,975.7,-12.8,63,6,S,19,976.9
,2017-06-17,-20.1,-16.0,0,,0.0,S,20,08:50,-17.3,66,4,ENE,7,982.5,-17.6,78,7,NNE,11,982.8
,2017-06-18,-19.2,-17.5,0,,0.0,E,54,20:21,-17.7,77,7,NE,13,978.6,-19.0,78,7,ENE,28,975.6
,2017-06-19,-25.1,-23.1,0,,0.0,S,28,13:07,-24.7,68,7,SSE,19,979.8,-26.8,60,1,SE,7,982.5
,2017-06-20,-28.7,-12.7,0,,0.0,SSE,54,22:45,-23.7,63,7,NE,11,981.2,-22.4,66,7,SE,24,975.4
,2017-06-21,-24.3,-15.4,0.2,,0.0,ENE,56,06:45,-16.3,82,7,NNE,17,968.7,-16.4,80,,NNE,44,969.9
,2017-06-22,-22.3,-18.9,0,,0.0,SSE,65,20:29,-21.9,62,4,SSW,41,990.8,-25.3,67,3,S,46,992.6
,2017-06-23,-25.8,-16.4,0,,0.0,SSE,48,01:28,-18.9,56,7,SSE,17,988.6,-18.2,81,7,S,13,982.9
,2017-06-24,-24.2,-21.2,10.8,,0.0,S,69,12:27,-22.4,76,1,SSW,37,979.5,-24.1,77,1,SSW,44,981.4
,2017-06-25,-26.3,-20.6,0.4,,0.0,SSE,30,14:59,-25.3,72,7,SSE,15,979.3,-25.1,74,7,SSE,19,979.5
,2017-06-26,-26.4,-14.7,0,,0.0,ESE,57,21:18,-24.7,56,1,S,7,980.1,-24.1,68,2,S,24,978.1
,2017-06-27,-26.8,-19.1,0,,0.0,SE,31,01:19,-20.4,57,2,WNW,13,977.1,-23.4,59,1,SSE,9,977.9
,2017-06-28,-26.7,-23.3,0,,0.0,SSE,26,17:17,-24.9,63,1,S,11,987.0,-26.0,62,1,S,11,992.4
,2017-06-29,-28.5,-12.2,,,0.0,SSE,59,00:36,-26.4,64,1,ESE,2,997.5,-21.4,67,1,S,28,993.7
,2017-06-30,-29.0,-18.9,0,,0.0,SE,109,17:17,-23.1,76,2,SSE,83,987.5,-24.5,73,1,SSE,65,990.7
