"Daily Weather Observations for Casey, Antarctica for July 2017"
"Prepared at 10:00 GMT on Tuesday 18 July 2017   IDCJDW9203.201707"
"Copyright 2003 Commonwealth Bureau of Meteorology"
""9 am" observations are those made at 0300 UTC. This is equivalent to 10 am Local Standard Time, but 11am according to the time used by most people at the station. "3 pm" observations are similarly those made at 0900 UTC (4 pm LST, 5 pm station time).The maximum wind gust is in the 24 hours to 1 am local standard time."
"Observations were drawn from Casey {station 300017}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-07-1,-25.2,-9.8,0,,0.0,ENE,163,00:40,-21.8,76,7,SSE,15,991.0,-19.6,60,8,SSW,11,987.2
,2017-07-2,-22.8,-8.7,1.4,,0.0,ENE,167,01:28,-9.9,87,8,NE,46,967.2,-14.7,86,8,NNE,24,968.4
,2017-07-3,-18.6,-14.7,1.0,,0.0,W,43,01:48,-18.2,82,7,NE,33,978.8,-20.2,74,1,S,11,978.8
,2017-07-4,-21.6,-13.7,0,,0.0,S,22,18:55,-15.0,75,7,NNE,11,979.5,-16.2,78,7,ESE,4,978.1
,2017-07-5,-22.3,-15.3,0,,0.0,ENE,46,11:57,-19.2,80,8,NNE,19,980.1,-20.1,70,8,SSE,13,981.7
,2017-07-6,-21.0,-15.9,0,,0.0,WNW,35,11:04,-16.0,73,7,W,20,978.9,-17.4,72,7,NW,13,978.3
,2017-07-7,-22.9,-14.3,0.2,,0.0,SSE,26,08:03,-18.8,78,8,S,17,975.1,-18.1,73,6,SE,17,977.1
,2017-07-8,-22.3,-14.2,0.2,,0.0,NE,24,02:06,-15.9,80,7,SSE,15,984.3,-15.0,83,7,ESE,7,987.4
,2017-07-9,-21.6,-19.2,0.6,,0.0,NNE,20,09:02,-20.2,82,2,NNE,13,988.1,-20.9,68,2, ,Calm,987.4
,2017-07-10,-25.2,-9.6,0,,0.0,E,131,22:10,-23.8,69,2,NNE,13,981.5,-22.9,65,5,NNE,7,975.4
,2017-07-11,-24.1,-3.2,,,0.0,E,141,04:04,-10.0,69,6,E,104,959.5,-8.1,57,7,E,41,965.7
,2017-07-12,-10.5,-7.4,2.2,,0.0,SSE,54,00:56,-7.8,70,8,ESE,9,972.3,-8.1,68,7,ESE,28,969.5
,2017-07-13,-18.0,-9.8,0.6,,0.5,SE,56,17:57,-16.3,67,1,SSW,9,963.9,-15.7,67,6,SE,7,969.1
,2017-07-14,-20.8,-20.1,0,,0.3,SSE,37,09:43,-20.6,76,2,SSE,31,981.7,-22.2,70,1,S,20,985.7
,2017-07-15,-26.8,-20.1,0,,0.0,SSE,72,09:46,-26.0,73,1,SSE,63,985.6,-25.2,66,2,SE,11,988.3
,2017-07-16,-27.1,-18.0,0,,0.0,SSE,24,20:40,-22.4,56,5,S,19,994.4,-21.7,45,6,ENE,9,996.1
,2017-07-17,-23.7,-16.8,1.4,,0.0,SE,22,02:22,-19.3,77,7,NE,7,1006.3,-19.1,73,7,NE,7,1010.0
,2017-07-18,-20.6,,0,,,,,,-17.9,83,7,SE,9,1019.0,-16.3,78,7, ,Calm,1015.9
